dataset,method,bin,dev,test
bbh,EMBED (RR),0,0.2865798759883569,3.326979551803606
bbh,EMBED (RR),1,0.2833640743966824,3.4387845616977053
bbh,EMBED (RR),2,0.28405726400928366,2.968436499030849
bbh,EMBED (RR),3,0.28666606981215287,2.997695089178396
bbh,EMBED (RR),4,0.2840065342707582,2.9754504781588853
bbh,EMBED (RR),5,0.29025935631153393,2.7603426288622828
bbh,EMBED (RR),6,0.28797145858177065,2.9266421136503085
bbh,EMBED (RR),7,0.2875410753796682,2.9573220045468425
bbh,EMBED (RR),8,0.28948625462290684,2.957304396770861
bbh,EMBED (RR),9,0.2872771190962306,3.0202658518295173
bbh,LESS (RR),0,0.2726448921854665,3.995761317740642
bbh,LESS (RR),1,0.2794053195458319,3.366682746377963
bbh,LESS (RR),2,0.28240954879395386,3.2299354391207142
bbh,LESS (RR),3,0.28527825975353704,3.111654364921735
bbh,LESS (RR),4,0.2882863237970957,3.1159276964980838
bbh,LESS (RR),5,0.2859935710597553,3.0887179663197415
bbh,LESS (RR),6,0.28657744478802255,2.8260671178960632
bbh,LESS (RR),7,0.29117688410168074,2.7980163242479676
bbh,LESS (RR),8,0.29030705665318685,2.960127049323839
bbh,LESS (RR),9,0.2900509544084837,3.097795089961673
bbh,RDS+ (RR),0,0.2767581440002462,4.196048925730732
bbh,RDS+ (RR),1,0.28250808988548354,3.5094520138890455
bbh,RDS+ (RR),2,0.29036401656030875,2.960864068107513
bbh,RDS+ (RR),3,0.29381296089217984,2.892500404186685
bbh,RDS+ (RR),4,0.2887138147941894,2.977194928972792
bbh,RDS+ (RR),5,0.2930820737792938,2.6452926728897905
bbh,RDS+ (RR),6,0.2886904060817611,2.5954037533434757
bbh,RDS+ (RR),7,0.28425807799040165,2.8110778277058732
bbh,RDS+ (RR),8,0.2864967781452485,2.689564173144874
bbh,RDS+ (RR),9,0.2770289190711431,2.716004500327215
codex,EMBED (RR),0,1.0651833601295948,1.042599508387817
codex,EMBED (RR),1,0.9727395586669445,0.9768867113098905
codex,EMBED (RR),2,0.9626768045127392,0.9619775988866348
codex,EMBED (RR),3,0.9503947533667088,0.9606057995980656
codex,EMBED (RR),4,0.94897485896945,0.9577645202343529
codex,EMBED (RR),5,0.9582322910428047,0.9590489524039062
codex,EMBED (RR),6,0.959009263664484,0.9601124083069531
codex,EMBED (RR),7,0.9534476883709431,0.9576148124462044
codex,EMBED (RR),8,0.9250254891812801,0.9317698481719237
codex,EMBED (RR),9,0.9529488272964954,0.9582793714629637
codex,LESS (RR),0,0.7802574932575226,0.8229645527395848
codex,LESS (RR),1,0.8404472805559635,0.8719971435194885
codex,LESS (RR),2,0.9114991948008537,0.9235910013620112
codex,LESS (RR),3,0.950454093515873,0.9543857041343644
codex,LESS (RR),4,0.9457022622227669,0.9510145398309907
codex,LESS (RR),5,0.9921788945794106,0.9913132421773028
codex,LESS (RR),6,0.9924721643328667,0.9843802961546022
codex,LESS (RR),7,1.0133814588189125,1.0051042788938895
codex,LESS (RR),8,1.0196626223623753,1.0161239980543788
codex,LESS (RR),9,1.0333699397742748,1.0230808086894654
codex,RDS+ (RR),0,1.050312653183937,1.0278614371813632
codex,RDS+ (RR),1,0.9428263381123543,0.9501456294108082
codex,RDS+ (RR),2,0.9545258656144142,0.9599309427714026
codex,RDS+ (RR),3,0.9519417248666286,0.9632792042417301
codex,RDS+ (RR),4,0.9485337026417255,0.962996243574732
codex,RDS+ (RR),5,0.9457540586590767,0.9538842626419421
codex,RDS+ (RR),6,0.9672087170183659,0.9708726564170541
codex,RDS+ (RR),7,0.9607770889997482,0.9657892130718038
codex,RDS+ (RR),8,0.9624673649668694,0.9665386786533369
codex,RDS+ (RR),9,0.9549425318837166,0.9530680790744923
gsm8k,EMBED (RR),0,0.8161074295639992,3.568121209932693
gsm8k,EMBED (RR),1,0.9708993136882782,3.570069231437498
gsm8k,EMBED (RR),2,0.9801885038614273,3.5292503239079984
gsm8k,EMBED (RR),3,1.0667168125510216,3.4173316928452846
gsm8k,EMBED (RR),4,1.0283994525671005,3.369533559424666
gsm8k,EMBED (RR),5,1.074020378291607,3.269347654589204
gsm8k,EMBED (RR),6,1.0779028534889221,3.429541345705491
gsm8k,EMBED (RR),7,1.0570869222283363,3.587492674476184
gsm8k,EMBED (RR),8,1.0754959285259247,3.4516305428187533
gsm8k,EMBED (RR),9,1.0414243713021278,3.482747472263449
gsm8k,LESS (RR),0,0.6989158131182194,4.431033908100721
gsm8k,LESS (RR),1,0.9855841398239136,3.8296895404942926
gsm8k,LESS (RR),2,1.0537334010004997,3.9437683158249817
gsm8k,LESS (RR),3,1.0585656240582466,3.7477252918992465
gsm8k,LESS (RR),4,1.0586049482226372,3.930309553775397
gsm8k,LESS (RR),5,1.0863286703824997,3.693392432938027
gsm8k,LESS (RR),6,1.136430248618126,3.601832503346985
gsm8k,LESS (RR),7,1.1075073182582855,3.337546001427819
gsm8k,LESS (RR),8,1.149796947836876,3.1035046902816346
gsm8k,LESS (RR),9,1.133266881108284,2.9644872032394005
gsm8k,RDS+ (RR),0,0.7669279128313065,4.770943532304568
gsm8k,RDS+ (RR),1,0.9627332985401154,4.017011962486452
gsm8k,RDS+ (RR),2,1.0648509114980698,3.4453665554026385
gsm8k,RDS+ (RR),3,1.0970350950956345,3.4141098846532434
gsm8k,RDS+ (RR),4,1.073986865580082,3.5459714787217864
gsm8k,RDS+ (RR),5,1.053319089114666,3.404320998206294
gsm8k,RDS+ (RR),6,1.0456566363573074,3.258620189752788
gsm8k,RDS+ (RR),7,1.0768203139305115,3.2823887131628076
gsm8k,RDS+ (RR),8,1.059422954916954,3.1996519703861437
gsm8k,RDS+ (RR),9,0.9835157543420792,2.9501706743168055
mmlu_pro,EMBED (RR),0,1.9721085497311184,8.973058959786245
mmlu_pro,EMBED (RR),1,1.9549238051686968,8.495436274188947
mmlu_pro,EMBED (RR),2,1.969179596219744,9.007518243123876
mmlu_pro,EMBED (RR),3,1.9053308725357057,8.916662142750747
mmlu_pro,EMBED (RR),4,1.9330118673188346,8.822272024890209
mmlu_pro,EMBED (RR),5,1.9212749310902186,8.577746279260262
mmlu_pro,EMBED (RR),6,1.9052017722811019,8.437886928980971
mmlu_pro,EMBED (RR),7,1.9577310638768333,8.872976690253362
mmlu_pro,EMBED (RR),8,1.9230961169515337,8.343734048148418
mmlu_pro,EMBED (RR),9,1.8981884786060879,8.583933331389376
mmlu_pro,LESS (RR),0,1.7527424224785395,8.76546343915323
mmlu_pro,LESS (RR),1,1.8740830276693616,8.234779087588825
mmlu_pro,LESS (RR),2,1.9229755043983459,8.025811460384347
mmlu_pro,LESS (RR),3,1.9034452685288021,8.871497556567192
mmlu_pro,LESS (RR),4,1.9340731986931392,9.03329261019826
mmlu_pro,LESS (RR),5,1.9572626309735435,9.163629161590274
mmlu_pro,LESS (RR),6,1.9777048570769173,9.25783669849501
mmlu_pro,LESS (RR),7,1.993141644341605,9.281063663277854
mmlu_pro,LESS (RR),8,1.9817117691040038,9.211239541147618
mmlu_pro,LESS (RR),9,1.9846480897494725,9.340630699266145
mmlu_pro,RDS+ (RR),0,1.9693609842232296,9.14808069367675
mmlu_pro,RDS+ (RR),1,1.9065229271139417,9.471389484017136
mmlu_pro,RDS+ (RR),2,1.9160812199115753,9.286214512237843
mmlu_pro,RDS+ (RR),3,1.9064284997326988,8.831600606282974
mmlu_pro,RDS+ (RR),4,1.9960320694105966,8.896258857814555
mmlu_pro,RDS+ (RR),5,1.9546567142009734,8.43760219176716
mmlu_pro,RDS+ (RR),6,1.9282102108001709,8.854711425034925
mmlu_pro,RDS+ (RR),7,1.9302403960909162,8.072225069032704
mmlu_pro,RDS+ (RR),8,1.9238950840064457,8.072585600249944
mmlu_pro,RDS+ (RR),9,1.9153367238385337,7.9365371964634095
tydiqa,EMBED (RR),0,0.9293092671367857,0.895423098129945
tydiqa,EMBED (RR),1,0.9030555999941297,0.898526353791271
tydiqa,EMBED (RR),2,0.8799743172195222,0.9024782901490759
tydiqa,EMBED (RR),3,0.794850038157569,0.8787523184811062
tydiqa,EMBED (RR),4,0.8763911376396815,0.900410644940464
tydiqa,EMBED (RR),5,0.8858040471871694,0.9150039806187165
tydiqa,EMBED (RR),6,0.9001644353071848,0.9091656690708132
tydiqa,EMBED (RR),7,0.9103558518820338,0.9052046356443517
tydiqa,EMBED (RR),8,0.9847343232896593,0.9263652292932667
tydiqa,EMBED (RR),9,0.9494128144449658,0.9194010196762519
tydiqa,LESS (RR),0,0.3805781859490607,0.7516247711785692
tydiqa,LESS (RR),1,0.6146678560309939,0.8228710635675468
tydiqa,LESS (RR),2,0.7378603509730763,0.8584769863058568
tydiqa,LESS (RR),3,0.7904965869254537,0.8816359079391005
tydiqa,LESS (RR),4,0.8798286534017987,0.8936957498978965
tydiqa,LESS (RR),5,1.0406209313207202,0.9535190439255647
tydiqa,LESS (RR),6,1.2070946991443634,0.9709898504031051
