dataset,method,bin,true_metric
bbh,EMBED (RR),0,39.571901396787084
bbh,EMBED (RR),1,39.15707055921997
bbh,EMBED (RR),2,39.145777957515485
bbh,EMBED (RR),3,38.76839814515301
bbh,EMBED (RR),4,38.49023704375586
bbh,EMBED (RR),5,38.154233952852316
bbh,EMBED (RR),6,38.677082943319846
bbh,EMBED (RR),7,38.466000606706274
bbh,EMBED (RR),8,38.641273884410545
bbh,EMBED (RR),9,38.92428502659468
bbh,RDS+ (RR),0,38.81466802494245
bbh,RDS+ (RR),1,39.15169912051368
bbh,RDS+ (RR),2,38.07365731179979
bbh,RDS+ (RR),3,37.26162752935653
bbh,RDS+ (RR),4,38.09256518380909
bbh,RDS+ (RR),5,36.646650395769
bbh,RDS+ (RR),6,38.64499330906813
bbh,RDS+ (RR),7,38.610346009446054
bbh,RDS+ (RR),8,38.50439175531841
bbh,RDS+ (RR),9,39.25758496700017
bbh,LESS (RR),0,39.13846902174909
bbh,LESS (RR),1,39.299701539656624
bbh,LESS (RR),2,39.36643058409304
bbh,LESS (RR),3,38.458454012307826
bbh,LESS (RR),4,38.35049958460039
bbh,LESS (RR),5,39.06283897258916
bbh,LESS (RR),6,38.252233568928155
bbh,LESS (RR),7,38.490297830224854
bbh,LESS (RR),8,37.93446906479347
bbh,LESS (RR),9,38.607717265975836
codex,EMBED (RR),0,34.45945945945946
codex,EMBED (RR),1,23.64864864864865
codex,EMBED (RR),2,27.7027027027027
codex,EMBED (RR),3,26.351351351351347
codex,EMBED (RR),4,29.72972972972973
codex,EMBED (RR),5,29.054054054054053
codex,EMBED (RR),6,27.7027027027027
codex,EMBED (RR),7,25.0
codex,EMBED (RR),8,25.0
codex,EMBED (RR),9,29.054054054054053
codex,RDS+ (RR),0,25.675675675675674
codex,RDS+ (RR),1,25.0
codex,RDS+ (RR),2,23.64864864864865
codex,RDS+ (RR),3,25.675675675675674
codex,RDS+ (RR),4,29.054054054054053
codex,RDS+ (RR),5,27.7027027027027
codex,RDS+ (RR),6,29.054054054054053
codex,RDS+ (RR),7,25.675675675675674
codex,RDS+ (RR),8,26.351351351351347
codex,RDS+ (RR),9,27.7027027027027
codex,LESS (RR),0,21.62162162162162
codex,LESS (RR),1,25.0
codex,LESS (RR),2,25.0
codex,LESS (RR),3,29.72972972972973
codex,LESS (RR),4,28.37837837837838
codex,LESS (RR),5,25.0
