dataset,method,num_samples,dev,test,seed
bbh,EMBED (RR),500,0.2867829446784324,3.3282318690683304,0
bbh,EMBED (RR),500,0.2862342401971052,3.2783961752614124,1
bbh,EMBED (RR),500,0.2858968436557018,3.231703789232147,2
bbh,EMBED (RR),1000,0.28021579708352135,3.4239450482852702,0
bbh,EMBED (RR),1000,0.27933328862037554,3.5107890724897786,1
bbh,EMBED (RR),1000,0.28005183841113324,3.4339591594788543,2
bbh,EMBED (RR),2500,0.26915902029263017,3.7266591939805673,0
bbh,EMBED (RR),2500,0.27136459131437685,3.655456105363001,1
bbh,EMBED (RR),2500,0.2710012778938736,3.8682149951266833,2
bbh,EMBED (RR),5000,0.2676131689553092,4.017599311672841,0
bbh,EMBED (RR),5000,0.26733147500105847,3.8375447614276084,1
bbh,EMBED (RR),5000,0.26648413287590683,3.9006921588102075,2
bbh,EMBED (RR),10000,0.2647335646777517,3.949769596284737,0
bbh,EMBED (RR),10000,0.26283587929850194,4.051889410611763,1
bbh,EMBED (RR),10000,0.2650289450266203,4.129460889697898,2
bbh,LESS (DG),500,0.267476787675678,3.9598066762943382,0
bbh,LESS (DG),500,0.2683556389960426,4.059173969835423,1
bbh,LESS (DG),500,0.2688463440072941,3.9706195046405166,2
bbh,LESS (DG),1000,0.26403737410810996,4.330258601749205,0
bbh,LESS (DG),1000,0.26451406240417263,4.245620358518477,1
bbh,LESS (DG),1000,0.26444426005315264,4.3761848344989245,2
bbh,LESS (DG),2500,0.2610811556080057,4.491110498945279,0
bbh,LESS (DG),2500,0.26141981686246984,4.4753088811230795,1
bbh,LESS (DG),2500,0.2614559082682302,4.468114652596683,2
bbh,LESS (DG),5000,0.25901119681190193,4.594113032428959,0
bbh,LESS (DG),5000,0.25960009289836444,4.542120365123561,1
bbh,LESS (DG),5000,0.2595141804604619,4.57050365459496,2
bbh,LESS (DG),10000,0.25806121796047615,4.625083105993644,0
bbh,LESS (DG),10000,0.25682575768722155,4.47195483093034,1
bbh,LESS (DG),10000,0.25739107965951624,4.494537887261441,2
bbh,LESS (KNN-KDE),500,0.27056909872241963,3.5466589202411787,0
bbh,LESS (KNN-KDE),500,0.2737567024765375,3.393451578920841,1
bbh,LESS (KNN-KDE),500,0.27055082520768964,3.444479525093841,2
bbh,LESS (KNN-KDE),1000,0.26622413879513374,4.1660406758911215,0
bbh,LESS (KNN-KDE),1000,0.26583221348945374,4.197510870581233,1
bbh,LESS (KNN-KDE),1000,0.26536502386730765,4.023525167904843,2
bbh,LESS (KNN-KDE),2500,0.260074646850289,4.365227922112908,0
bbh,LESS (KNN-KDE),2500,0.2610629169891278,4.357310691451609,1
bbh,LESS (KNN-KDE),2500,0.2601231853707613,4.426673852478262,2
bbh,LESS (KNN-KDE),5000,0.25660000597471716,4.527030264373712,0
bbh,LESS (KNN-KDE),5000,0.25565407668631296,4.457004640476255,1
bbh,LESS (KNN-KDE),5000,0.2559855852799237,4.3283129549579415,2
bbh,LESS (KNN-KDE),10000,0.2526933922443861,4.637353022340951,0
bbh,LESS (KNN-KDE),10000,0.25233817553826043,4.4790761517894335,1
bbh,LESS (KNN-KDE),10000,0.2534211633071579,4.529713745244251,2
bbh,LESS (KNN-Unif.),500,0.27064958217059387,3.5326335981975703,0
bbh,LESS (KNN-Unif.),500,0.27236161952447374,3.6573478216409794,1
bbh,LESS (KNN-Unif.),500,0.2715732047426296,3.5400239265682765,2
bbh,LESS (KNN-Unif.),1000,0.26644472381169043,4.099666750929063,0
bbh,LESS (KNN-Unif.),1000,0.2685370235014017,4.018196257138249,1
bbh,LESS (KNN-Unif.),1000,0.2662935046490604,4.073810829062229,2
bbh,LESS (KNN-Unif.),2500,0.26003802596464937,4.480974479074797,0
bbh,LESS (KNN-Unif.),2500,0.2621392048952848,4.443392749129123,1
bbh,LESS (KNN-Unif.),2500,0.26131774168346583,4.478966924291367,2
bbh,LESS (KNN-Unif.),5000,0.2562730423444997,4.453675643184038,0
bbh,LESS (KNN-Unif.),5000,0.2567700627547355,4.386628819860414,1
bbh,LESS (KNN-Unif.),5000,0.25599150978212737,4.333488653944195,2
bbh,LESS (KNN-Unif.),10000,0.25368579547208403,4.515916091156086,0
bbh,LESS (KNN-Unif.),10000,0.2535527878912327,4.349856933948174,1
bbh,LESS (KNN-Unif.),10000,0.2530705459318181,4.582250406149437,2
bbh,LESS (RR),500,0.27275047530592594,3.9957958670498095,0
bbh,LESS (RR),500,0.27008706976280167,3.880178336343024,1
bbh,LESS (RR),500,0.27039543051778536,3.858653592268748,2
bbh,LESS (RR),1000,0.26586111917240934,4.3217748690037805,0
bbh,LESS (RR),1000,0.2658994644190426,4.364622981646995,1
bbh,LESS (RR),1000,0.26637483039801874,4.210561209510611,2
bbh,LESS (RR),2500,0.2610868460406768,4.463768952417586,0
bbh,LESS (RR),2500,0.26104947510117915,4.298434131436772,1
bbh,LESS (RR),2500,0.262148773268923,4.391726415642688,2
bbh,LESS (RR),5000,0.2589185602595041,4.173553218111577,0
bbh,LESS (RR),5000,0.2590210273241003,4.456481523236231,1
bbh,LESS (RR),5000,0.2581988936060189,4.409913816781221,2
bbh,LESS (RR),10000,0.2566620326560726,4.362766824753086,0
bbh,LESS (RR),10000,0.2559539259463135,4.253807092134972,1
bbh,LESS (RR),10000,0.2561558803520453,4.3439215958722635,2
bbh,LESS (UOT),500,0.2668177387964578,3.8769838564032657,0
bbh,LESS (UOT),500,0.2685825315614541,3.883490502852629,1
bbh,LESS (UOT),500,0.267483304898588,3.774515955601213,2
bbh,LESS (UOT),1000,0.26379043361700977,4.147333264273079,0
bbh,LESS (UOT),1000,0.26341056466723484,4.346559794839672,1
bbh,LESS (UOT),1000,0.26340030652275426,4.291986683146999,2
bbh,LESS (UOT),2500,0.25744205800655445,4.449650209600192,0
bbh,LESS (UOT),2500,0.25630531347368235,4.42527804647406,1
bbh,LESS (UOT),2500,0.2585975786694038,4.576534520877596,2
bbh,LESS (UOT),5000,0.2524557427796363,4.586786387368952,0
bbh,LESS (UOT),5000,0.25373861965159944,4.52393155018043,1
bbh,LESS (UOT),5000,0.25297350100425564,4.485766246637941,2
bbh,LESS (UOT),10000,0.24977803401890453,4.830630424004915,0
bbh,LESS (UOT),10000,0.24964629779253614,4.759155914560475,1
bbh,LESS (UOT),10000,0.2495147781992722,4.974174048046128,2
bbh,RDS+ (RR),500,0.27667096192822044,4.19662334243011,0
bbh,RDS+ (RR),500,0.27640663103464946,4.184889033970022,1
bbh,RDS+ (RR),500,0.2761101024800245,4.231062641617633,2
bbh,RDS+ (RR),1000,0.2688137678958384,4.43360452813279,0
bbh,RDS+ (RR),1000,0.2707112622734757,4.504684396043495,1
bbh,RDS+ (RR),1000,0.2705459455833023,4.406847958694019,2
bbh,RDS+ (RR),2500,0.2652441338394527,4.810161912877006,0
bbh,RDS+ (RR),2500,0.2652053256737597,4.8830029492901135,1
bbh,RDS+ (RR),2500,0.26507977799822885,4.775559720479843,2
bbh,RDS+ (RR),5000,0.2643060244297908,4.756648615659464,0
bbh,RDS+ (RR),5000,0.2644973981746093,4.844524515401089,1
bbh,RDS+ (RR),5000,0.2645752447208873,4.9431031881856615,2
bbh,RDS+ (RR),10000,0.26432328623501056,5.095229831686256,0
bbh,RDS+ (RR),10000,0.264946772199538,4.842642550286454,1
bbh,RDS+ (RR),10000,0.2650653136100758,4.806703566836608,2
bbh,Random,500,0.28705362883614904,3.0052331716595773,0
bbh,Random,500,0.2837613450225305,3.021410362229994,1
bbh,Random,500,0.28623916603118915,2.947768619818139,2
bbh,Random,1000,0.284224060157107,2.889397078080581,0
bbh,Random,1000,0.27786921785661467,3.199371198065507,1
bbh,Random,1000,0.2827810057680364,3.0334431997020754,2
bbh,Random,2500,0.27131663721606686,3.2150203908410715,0
bbh,Random,2500,0.2728644642105073,3.4448941431640936,1
bbh,Random,2500,0.2744660676675446,3.286615145250393,2
bbh,Random,5000,0.2673457316180438,3.39232977377052,0
bbh,Random,5000,0.2674837380900611,3.236616623257917,1
bbh,Random,5000,0.26892937568050845,3.288751576288635,2
bbh,Random,10000,0.2651213019810341,3.6007445689546516,0
bbh,Random,10000,0.2655471667279432,3.414283412440437,1
bbh,Random,10000,0.26501111476969574,3.5922482113348617,2
codex,EMBED (RR),500,1.0639159604907036,1.042115874487806,0
codex,EMBED (RR),500,1.075226802378893,1.0483455792874903,1
codex,EMBED (RR),500,1.047938533127308,1.0249855232399863,2
codex,EMBED (RR),1000,1.06145678460598,1.0292155931930285,0
codex,EMBED (RR),1000,1.0563075877726078,1.0275297281709876,1
codex,EMBED (RR),1000,1.0630110278725624,1.0394621696826574,2
codex,EMBED (RR),2500,1.071967639029026,1.036970134723831,0
codex,EMBED (RR),2500,1.082171905785799,1.0436807465110276,1
codex,EMBED (RR),2500,1.073527242988348,1.0400534717215073,2
codex,EMBED (RR),5000,1.1053488701581955,1.0673719317325063,0
codex,EMBED (RR),5000,1.1150186993181705,1.0743996524126143,1
codex,EMBED (RR),5000,1.1114007569849491,1.0720150379111637,2
codex,EMBED (RR),10000,1.1153155863285065,1.06678357861332,0
codex,EMBED (RR),10000,1.1181208416819572,1.0663617017704088,1
codex,EMBED (RR),10000,1.1035798899829388,1.0575488221806448,2
codex,LESS (DG),500,0.7804956361651421,0.8221601743150402,0
codex,LESS (DG),500,0.7724279798567295,0.814351928395194,1
codex,LESS (DG),500,0.7817817535251379,0.8227475589594325,2
codex,LESS (DG),1000,0.8037941567599773,0.8371965672216706,0
codex,LESS (DG),1000,0.8011029250919819,0.8344497030248513,1
codex,LESS (DG),1000,0.8017031289637089,0.8356841331398165,2
codex,LESS (DG),2500,0.8191660530865192,0.8555856941116823,0
codex,LESS (DG),2500,0.8127452526241541,0.8431856672506075,1
codex,LESS (DG),2500,0.8332778476178646,0.8668564958246173,2
codex,LESS (DG),5000,0.835665512830019,0.8596706625476882,0
codex,LESS (DG),5000,0.8531929701566696,0.876508692933901,1
codex,LESS (DG),5000,0.8526976928114891,0.8729055587806411,2
codex,LESS (DG),10000,0.8833928517997265,0.9035410038321405,0
codex,LESS (DG),10000,0.8754607401788235,0.9004105708083591,1
codex,LESS (DG),10000,0.8742060884833336,0.892527274586059,2
codex,LESS (KNN-KDE),500,0.7745222989469767,0.8145626444067504,0
codex,LESS (KNN-KDE),500,0.778091000393033,0.818534675935233,1
codex,LESS (KNN-KDE),500,0.7736421432346106,0.8162643073781116,2
codex,LESS (KNN-KDE),1000,0.7803754974156618,0.8208489629968598,0
codex,LESS (KNN-KDE),1000,0.7981746532022953,0.8297151232490668,1
codex,LESS (KNN-KDE),1000,0.7857069913297892,0.8264268697617022,2
codex,LESS (KNN-KDE),2500,0.8017489798367023,0.8409320966818848,0
codex,LESS (KNN-KDE),2500,0.8161026425659657,0.8455161748806367,1
codex,LESS (KNN-KDE),2500,0.8267574980854988,0.8624981988624141,2
codex,LESS (KNN-KDE),5000,0.8452245853841305,0.8731259850130694,0
codex,LESS (KNN-KDE),5000,0.842084001749754,0.8686023877581229,1
codex,LESS (KNN-KDE),5000,0.828655306249857,0.8578838374767754,2
codex,LESS (KNN-KDE),10000,0.8906833454966545,0.9104193623202879,0
codex,LESS (KNN-KDE),10000,0.8753519207239151,0.9044869207852596,1
codex,LESS (KNN-KDE),10000,0.8624243512749672,0.8805311110776823,2
codex,LESS (KNN-Unif.),500,0.7823228128254414,0.8216809965166691,0
codex,LESS (KNN-Unif.),500,0.7776207532733679,0.8214264001596618,1
codex,LESS (KNN-Unif.),500,0.7874202281236649,0.8271598612537255,2
codex,LESS (KNN-Unif.),1000,0.7878353223204613,0.8250078573520925,0
codex,LESS (KNN-Unif.),1000,0.7926124595105648,0.8312599471694714,1
codex,LESS (KNN-Unif.),1000,0.7845550701022148,0.8261172473430634,2
codex,LESS (KNN-Unif.),2500,0.8137702457606792,0.840699291511162,0
codex,LESS (KNN-Unif.),2500,0.8279171362519264,0.8573876106859865,1
codex,LESS (KNN-Unif.),2500,0.8226106688380241,0.8533223153570214,2
codex,LESS (KNN-Unif.),5000,0.8329134546220303,0.8557547629886383,0
codex,LESS (KNN-Unif.),5000,0.8530756309628487,0.8809956423434857,1
codex,LESS (KNN-Unif.),5000,0.8325099125504494,0.8627887308798932,2
codex,LESS (KNN-Unif.),10000,0.8784004785120487,0.9000731763002034,0
codex,LESS (KNN-Unif.),10000,0.8557855226099491,0.8828784940210549,1
codex,LESS (KNN-Unif.),10000,0.8857269026339054,0.9047797229140997,2
codex,LESS (RR),500,0.7792893461883068,0.8229068094814146,0
codex,LESS (RR),500,0.7693123742938042,0.8166042563782351,1
codex,LESS (RR),500,0.7822826765477657,0.8274974046224678,2
codex,LESS (RR),1000,0.792474165558815,0.8299286824625891,0
codex,LESS (RR),1000,0.785800701007247,0.8220536479776775,1
codex,LESS (RR),1000,0.8062385283410549,0.8383404421242507,2
codex,LESS (RR),2500,0.8283892087638378,0.8569088273656529,0
codex,LESS (RR),2500,0.8100390024483204,0.8485545034746866,1
codex,LESS (RR),2500,0.8204038701951504,0.8507995979004616,2
codex,LESS (RR),5000,0.8787057362496853,0.8912329423568539,0
codex,LESS (RR),5000,0.8756052479147911,0.8921049237754699,1
codex,LESS (RR),5000,0.8897447809576988,0.9138165657987466,2
codex,LESS (RR),10000,0.8751849867403507,0.8982465917596946,0
codex,LESS (RR),10000,0.8681802786886692,0.8872862591131313,1
codex,LESS (RR),10000,0.8785374164581299,0.894514428099265,2
codex,LESS (UOT),500,0.7768636215478182,0.8188605668476304,0
codex,LESS (UOT),500,0.7809872534126043,0.8222668781071096,1
codex,LESS (UOT),500,0.7832046095281839,0.8245531476631358,2
codex,LESS (UOT),1000,0.7949302773922682,0.8321969582120309,0
codex,LESS (UOT),1000,0.7927560955286026,0.8306897231251806,1
codex,LESS (UOT),1000,0.78719019331038,0.8281455913910994,2
codex,LESS (UOT),2500,0.8175145797431469,0.8510388851769872,0
codex,LESS (UOT),2500,0.8169356845319271,0.8482710213173885,1
codex,LESS (UOT),2500,0.819969842210412,0.8537868493916215,2
codex,LESS (UOT),5000,0.8685794174671173,0.8946494956475657,0
codex,LESS (UOT),5000,0.8621282838284969,0.8874524781933507,1
codex,LESS (UOT),5000,0.841828253120184,0.8726595573227953,2
codex,LESS (UOT),10000,0.8693806566298008,0.8913319074624294,0
codex,LESS (UOT),10000,0.8732899688184261,0.8903621093848267,1
codex,LESS (UOT),10000,0.889773290604353,0.9106604662295934,2
codex,RDS+ (RR),500,1.051437545567751,1.0285190904664028,0
codex,RDS+ (RR),500,1.055432915687561,1.029662404712793,1
codex,RDS+ (RR),500,1.0590716451406479,1.0348994783251673,2
codex,RDS+ (RR),1000,1.0508538149297237,1.0288208731122919,0
codex,RDS+ (RR),1000,1.0646506883203983,1.0402340132843804,1
codex,RDS+ (RR),1000,1.0616224855184555,1.0418571569025517,2
codex,RDS+ (RR),2500,1.0862552672624588,1.0496762878185995,0
codex,RDS+ (RR),2500,1.0751432292163372,1.0458243988655709,1
codex,RDS+ (RR),2500,1.0852462388575077,1.0499948591396615,2
codex,RDS+ (RR),5000,1.1050875671207905,1.06676895775505,0
codex,RDS+ (RR),5000,1.1071757078170776,1.06006239827823,1
codex,RDS+ (RR),5000,1.1206328645348549,1.073093368797689,2
codex,RDS+ (RR),10000,1.114959966391325,1.0624230619822,0
