dataset,method,num_samples,seed,true_metric
bbh,Random,500,0,38.29238123310137
bbh,Random,500,1,39.22351640089961
bbh,Random,500,2,38.44055596389796
bbh,Random,1000,0,38.80156738855323
bbh,Random,1000,1,39.61069654068594
bbh,Random,1000,2,38.982122577530404
bbh,Random,2500,0,39.62487159163271
bbh,Random,2500,1,39.911878130263084
bbh,Random,2500,2,39.94225574440515
bbh,Random,5000,0,39.583114518811534
bbh,Random,5000,1,40.80888445763456
bbh,Random,5000,2,40.45810075573677
bbh,Random,10000,0,41.09212512513584
bbh,Random,10000,1,41.5378878860341
bbh,Random,10000,2,41.9614357471323
bbh,EMBED (RR),500,0,39.68647501369753
bbh,EMBED (RR),500,1,39.45731964656174
bbh,EMBED (RR),500,2,39.68991825927063
bbh,EMBED (RR),1000,0,40.26512450724169
bbh,EMBED (RR),1000,1,40.23124910432173
bbh,EMBED (RR),1000,2,40.056626150381625
bbh,EMBED (RR),2500,0,41.04271617599579
bbh,EMBED (RR),2500,1,39.99852676035892
bbh,EMBED (RR),2500,2,39.84210056819496
bbh,EMBED (RR),5000,0,41.51869543336012
bbh,EMBED (RR),5000,1,40.69161506752069
bbh,EMBED (RR),5000,2,41.463328178677344
bbh,EMBED (RR),10000,0,42.53618840732531
bbh,EMBED (RR),10000,1,42.64657130629299
bbh,EMBED (RR),10000,2,42.50532972040997
bbh,RDS+ (RR),500,0,38.98977445384928
bbh,RDS+ (RR),500,1,39.28155500445335
bbh,RDS+ (RR),500,2,39.31727264587861
bbh,RDS+ (RR),1000,0,40.58330035956994
bbh,RDS+ (RR),1000,1,40.087116667616264
bbh,RDS+ (RR),1000,2,40.24196030204595
bbh,RDS+ (RR),2500,0,40.96532856260151
bbh,RDS+ (RR),2500,1,41.33634874459327
bbh,RDS+ (RR),2500,2,41.427206273700136
bbh,RDS+ (RR),5000,0,41.62038789144513
bbh,RDS+ (RR),5000,1,41.67467424442861
bbh,RDS+ (RR),5000,2,41.9855558302226
bbh,RDS+ (RR),10000,0,42.64154334466966
bbh,RDS+ (RR),10000,1,42.67113036889857
bbh,RDS+ (RR),10000,2,42.68765771596581
bbh,LESS (DG),500,0,38.8213919839231
bbh,LESS (DG),500,1,38.685738912116705
bbh,LESS (DG),500,2,38.67574833584847
bbh,LESS (DG),1000,0,39.42553901730717
bbh,LESS (DG),1000,1,39.8489989971452
bbh,LESS (DG),1000,2,39.462910050689025
bbh,LESS (DG),2500,0,41.23811987146557
bbh,LESS (DG),2500,1,41.350138493464364
bbh,LESS (DG),2500,2,41.03920185232284
bbh,LESS (DG),5000,0,41.78481783859107
bbh,LESS (DG),5000,1,41.743459298200406
bbh,LESS (DG),5000,2,41.88075571421006
bbh,LESS (DG),10000,0,43.15037267074498
bbh,LESS (DG),10000,1,42.74374853082854
bbh,LESS (DG),10000,2,42.78455518861136
bbh,LESS (UOT),500,0,38.59074383036393
bbh,LESS (UOT),500,1,39.18903810839093
bbh,LESS (UOT),500,2,38.512230819818924
bbh,LESS (UOT),1000,0,39.76812631318512
bbh,LESS (UOT),1000,1,39.392508747505175
bbh,LESS (UOT),1000,2,39.377580249189755
bbh,LESS (UOT),2500,0,40.60724408263996
bbh,LESS (UOT),2500,1,40.62464314547356
bbh,LESS (UOT),2500,2,41.353652304994554
bbh,LESS (UOT),5000,0,42.48209953415433
bbh,LESS (UOT),5000,1,42.05006495525016
bbh,LESS (UOT),5000,2,41.839360299540104
bbh,LESS (UOT),10000,0,43.08903948934733
bbh,LESS (UOT),10000,1,42.493714761414786
bbh,LESS (UOT),10000,2,42.42579137565602
bbh,LESS (RR),500,0,38.94387358511797
bbh,LESS (RR),500,1,39.276238889359874
bbh,LESS (RR),500,2,39.53599872549614
bbh,LESS (RR),1000,0,40.46484289578568
bbh,LESS (RR),1000,1,40.34832722130571
bbh,LESS (RR),1000,2,40.60658397938773
bbh,LESS (RR),2500,0,42.41360557257668
bbh,LESS (RR),2500,1,42.219668080881846
bbh,LESS (RR),2500,2,42.23078165210733
bbh,LESS (RR),5000,0,42.75112065525741
bbh,LESS (RR),5000,1,43.34545374065876
bbh,LESS (RR),5000,2,42.70005207089654
bbh,LESS (RR),10000,0,43.26730074209182
bbh,LESS (RR),10000,1,42.9860913913282
bbh,LESS (RR),10000,2,43.055930252008075
bbh,LESS (KNN-Unif.),500,0,38.985153426236636
bbh,LESS (KNN-Unif.),500,1,38.653421910863806
bbh,LESS (KNN-Unif.),500,2,38.86000236622152
bbh,LESS (KNN-Unif.),1000,0,40.13000729529082
bbh,LESS (KNN-Unif.),1000,1,39.75533903500657
bbh,LESS (KNN-Unif.),1000,2,40.12740513446902
bbh,LESS (KNN-Unif.),2500,0,41.17889559643491
bbh,LESS (KNN-Unif.),2500,1,40.76373946285308
bbh,LESS (KNN-Unif.),2500,2,40.929558804552684
bbh,LESS (KNN-Unif.),5000,0,41.760374617802015
bbh,LESS (KNN-Unif.),5000,1,41.9827268145424
bbh,LESS (KNN-Unif.),5000,2,42.558694399319485
bbh,LESS (KNN-Unif.),10000,0,42.91460156527291
bbh,LESS (KNN-Unif.),10000,1,43.35406254354548
bbh,LESS (KNN-Unif.),10000,2,42.84418156887804
bbh,LESS (KNN-KDE),500,0,39.04267357059506
bbh,LESS (KNN-KDE),500,1,38.597737761746494
bbh,LESS (KNN-KDE),500,2,38.60626135383172
bbh,LESS (KNN-KDE),1000,0,39.76200767037443
bbh,LESS (KNN-KDE),1000,1,40.06882011116364
bbh,LESS (KNN-KDE),1000,2,39.71940978106719
bbh,LESS (KNN-KDE),2500,0,40.70955077061787
bbh,LESS (KNN-KDE),2500,1,40.91437419827174
bbh,LESS (KNN-KDE),2500,2,40.92071831803292
bbh,LESS (KNN-KDE),5000,0,42.154617364877296
bbh,LESS (KNN-KDE),5000,1,42.73427668202089
bbh,LESS (KNN-KDE),5000,2,42.23077403093519
bbh,LESS (KNN-KDE),10000,0,43.0588208345653
bbh,LESS (KNN-KDE),10000,1,42.70320449254073
bbh,LESS (KNN-KDE),10000,2,42.81875294882202
codex,Random,500,0,30.405405405405407
codex,Random,500,1,29.72972972972973
codex,Random,500,2,29.054054054054053
codex,Random,1000,0,29.054054054054053
codex,Random,1000,1,24.324324324324326
codex,Random,1000,2,25.675675675675674
codex,Random,2500,0,28.37837837837838
codex,Random,2500,1,31.756756756756754
codex,Random,2500,2,31.08108108108108
codex,Random,5000,0,25.675675675675674
codex,Random,5000,1,28.37837837837838
codex,Random,5000,2,27.7027027027027
codex,Random,10000,0,29.72972972972973
codex,Random,10000,1,32.432432432432435
codex,Random,10000,2,29.72972972972973
codex,EMBED (RR),500,0,28.37837837837838
