dataset,method,bin,dev,test
bbh,EMBED (RR),0,0.28673133557593383,3.328355165276544
bbh,EMBED (RR),1,0.2812913799152514,3.3142989845736164
bbh,EMBED (RR),2,0.283129210020473,3.2818109089787004
bbh,EMBED (RR),3,0.28198163368865664,3.5194055361693546
bbh,EMBED (RR),4,0.2780432770327653,3.4693978199475812
bbh,EMBED (RR),5,0.2817071074228964,3.345448039800519
bbh,EMBED (RR),6,0.278454204791306,3.6352351618342236
bbh,EMBED (RR),7,0.2827874167971773,3.444180185619797
bbh,EMBED (RR),8,0.2794243250341143,3.5867931856215227
bbh,EMBED (RR),9,0.2782248102910357,3.3307706164088855
bbh,LESS (RR),0,0.2729565276315919,3.9899548253390926
bbh,LESS (RR),1,0.2785358038144531,3.4704401742210953
bbh,LESS (RR),2,0.2799665223416171,3.4180353405727915
bbh,LESS (RR),3,0.2775263555669858,3.5075404031396444
bbh,LESS (RR),4,0.278141998651403,3.4072369542050116
bbh,LESS (RR),5,0.27714449056872614,3.327463391102362
bbh,LESS (RR),6,0.28225614197184273,3.144747647450388
bbh,LESS (RR),7,0.2778479012971123,3.3303533220617036
bbh,LESS (RR),8,0.28125994675505306,3.3358767227521597
bbh,LESS (RR),9,0.28113624043072816,3.296209785918489
bbh,RDS+ (RR),0,0.27698064625355195,4.19537038518214
bbh,RDS+ (RR),1,0.27610345525138175,4.230738151954114
bbh,RDS+ (RR),2,0.2765206089473249,4.225882750615018
bbh,RDS+ (RR),3,0.27480427686263015,4.332459815543398
bbh,RDS+ (RR),4,0.27503056126290265,4.146618197721703
bbh,RDS+ (RR),5,0.27676618062419656,4.080677266545494
bbh,RDS+ (RR),6,0.2760433394484866,4.0448677769098715
bbh,RDS+ (RR),7,0.27939001095975624,3.6669544618061254
bbh,RDS+ (RR),8,0.281319444079274,3.5027007684832507
bbh,RDS+ (RR),9,0.28180448602839014,3.5572298062212035
codex,EMBED (RR),0,1.0647647641599178,1.0421310410507627
codex,EMBED (RR),1,1.0235943421721458,1.009555979858379
codex,EMBED (RR),2,1.0292232744395733,1.022860444780137
codex,EMBED (RR),3,1.0329491384327412,1.027538020667192
codex,EMBED (RR),4,0.9973170645534992,0.9945836983923171
codex,EMBED (RR),5,1.0189288593828678,1.013571416002673
codex,EMBED (RR),6,0.9898978173732758,0.9917529926106736
codex,EMBED (RR),7,0.9697652608156204,0.9681417101339714
codex,EMBED (RR),8,0.982889398932457,0.9844160012498095
codex,EMBED (RR),9,0.9659839496016502,0.969551367232123
codex,LESS (RR),0,0.7808460686355829,0.8224975408835186
codex,LESS (RR),1,0.7964748777449131,0.8362822448583068
codex,LESS (RR),2,0.7898403368890285,0.8321688425399967
codex,LESS (RR),3,0.7973327618092299,0.8387740384283904
codex,LESS (RR),4,0.8108207117766142,0.8457778233128626
codex,LESS (RR),5,0.9045251272618771,0.9136299952562597
codex,LESS (RR),6,0.8386582098901272,0.8701246209643982
codex,LESS (RR),7,0.8361726813018322,0.8682960418329851
codex,LESS (RR),8,0.8241975121200085,0.8552810140960926
codex,LESS (RR),9,0.8872348517179489,0.9022289137481838
codex,RDS+ (RR),0,1.052684511989355,1.028102035961441
codex,RDS+ (RR),1,1.0458762794733047,1.0239590219146497
codex,RDS+ (RR),2,1.036283865571022,1.0279594818885263
codex,RDS+ (RR),3,1.0266631320118904,1.0236011263285134
