dataset,method,bin,true_metric
bbh,EMBED (RR),0,39.794044139329294
bbh,EMBED (RR),1,38.96618209729964
bbh,EMBED (RR),2,39.53456699380701
bbh,EMBED (RR),3,38.90242311510047
bbh,EMBED (RR),4,39.516377853203
bbh,EMBED (RR),5,39.559591350311045
bbh,EMBED (RR),6,39.559247873228074
bbh,EMBED (RR),7,39.268780176221604
bbh,EMBED (RR),8,39.26646805892067
bbh,EMBED (RR),9,39.10191464878605
bbh,RDS+ (RR),0,38.458523444234494
bbh,RDS+ (RR),1,38.920823331688084
bbh,RDS+ (RR),2,38.541799394714324
bbh,RDS+ (RR),3,39.47833831498872
bbh,RDS+ (RR),4,38.97915035697722
bbh,RDS+ (RR),5,39.84300915824063
bbh,RDS+ (RR),6,39.26066031115783
bbh,RDS+ (RR),7,39.101589352771335
bbh,RDS+ (RR),8,39.03416600126212
bbh,RDS+ (RR),9,39.74579505942579
bbh,LESS (RR),0,39.19246506294646
bbh,LESS (RR),1,38.71299590624165
bbh,LESS (RR),2,38.90404281537927
bbh,LESS (RR),3,39.183711945544104
bbh,LESS (RR),4,38.472848540818376
bbh,LESS (RR),5,39.3336884677612
bbh,LESS (RR),6,39.31549959542246
bbh,LESS (RR),7,39.53826607908039
bbh,LESS (RR),8,39.83726030689607
bbh,LESS (RR),9,39.61035549018419
codex,EMBED (RR),0,31.756756756756754
codex,EMBED (RR),1,30.405405405405407
codex,EMBED (RR),2,29.054054054054053
codex,EMBED (RR),3,29.054054054054053
codex,EMBED (RR),4,27.7027027027027
codex,EMBED (RR),5,25.0
codex,EMBED (RR),6,25.0
codex,EMBED (RR),7,29.054054054054053
codex,EMBED (RR),8,29.054054054054053
codex,EMBED (RR),9,27.7027027027027
codex,RDS+ (RR),0,26.351351351351347
codex,RDS+ (RR),1,28.37837837837838
codex,RDS+ (RR),2,26.351351351351347
codex,RDS+ (RR),3,28.37837837837838
codex,RDS+ (RR),4,27.7027027027027
codex,RDS+ (RR),5,25.675675675675674
codex,RDS+ (RR),6,26.351351351351347
codex,RDS+ (RR),7,27.027027027027028
codex,RDS+ (RR),8,27.7027027027027
codex,RDS+ (RR),9,25.675675675675674
codex,LESS (RR),0,27.027027027027028
codex,LESS (RR),1,25.0
codex,LESS (RR),2,22.972972972972975
codex,LESS (RR),3,25.675675675675674
codex,LESS (RR),4,21.62162162162162
