dataset,method,bin,dev,test
bbh,EMBED (RR),0,0.38575921575596306,7.005937056229459
bbh,EMBED (RR),1,0.3734344870403961,7.053369421203498
bbh,EMBED (RR),2,0.37929667762400193,6.542930005873207
bbh,EMBED (RR),3,0.3834498374734396,6.37726275217989
bbh,EMBED (RR),4,0.383461682608834,6.021787532906327
bbh,EMBED (RR),5,0.38101220797793367,6.041828935069617
bbh,EMBED (RR),6,0.3851356895433532,6.004044075295812
bbh,EMBED (RR),7,0.38419833273431403,6.268934221792067
bbh,EMBED (RR),8,0.3875470666881697,5.848358009203369
bbh,EMBED (RR),9,0.3857759901402909,6.111123566248692
bbh,LESS (RR),0,0.34207057837902766,6.695193952476717
bbh,LESS (RR),1,0.3590555215875308,6.330674122764372
bbh,LESS (RR),2,0.3733175559728234,6.517563034048682
bbh,LESS (RR),3,0.3784964654456686,6.6668932774689065
bbh,LESS (RR),4,0.38637290674227254,6.328537390425612
bbh,LESS (RR),5,0.38651498936024714,6.562459873678937
bbh,LESS (RR),6,0.3883347530607824,6.5438709857185176
bbh,LESS (RR),7,0.38964258667863444,6.509767734259253
bbh,LESS (RR),8,0.3917945651912395,6.653439137604614
bbh,LESS (RR),9,0.39541772316083496,6.676568755950087
bbh,RDS+ (RR),0,0.3678723696021386,8.128428178876433
bbh,RDS+ (RR),1,0.37280010726348856,6.823173712537945
bbh,RDS+ (RR),2,0.3867997083766961,6.187947838148238
bbh,RDS+ (RR),3,0.3891968848988598,6.193186544352203
bbh,RDS+ (RR),4,0.38363927313023144,6.0937921888559865
bbh,RDS+ (RR),5,0.3927469909835009,6.098667127867116
bbh,RDS+ (RR),6,0.3952673957855613,6.058303795067181
bbh,RDS+ (RR),7,0.38817011817921826,6.049387477891014
bbh,RDS+ (RR),8,0.38529773001317624,6.357124740842886
bbh,RDS+ (RR),9,0.3894046777744352,6.930920533166469
codex,EMBED (RR),0,0.6918150093406439,0.8235476911067963
codex,EMBED (RR),1,0.6174096949398518,0.7640268666720068
codex,EMBED (RR),2,0.592661814764142,0.741711858156565
codex,EMBED (RR),3,0.6016353238373995,0.7512716690229403
codex,EMBED (RR),4,0.5984177365899086,0.7508221487137111
codex,EMBED (RR),5,0.5924013741314411,0.7465495114793649
codex,EMBED (RR),6,0.5666752010583878,0.7260648593105175
codex,EMBED (RR),7,0.5929610300809145,0.7482752452629644
codex,EMBED (RR),8,0.5736785139888525,0.7262467810431043
codex,EMBED (RR),9,0.5941627509891987,0.7434962087789098
codex,LESS (RR),0,0.48371934704482555,0.6358511718745167
codex,LESS (RR),1,0.5181791093200445,0.6712154477230601
codex,LESS (RR),2,0.5621910281479359,0.7144807321397034
codex,LESS (RR),3,0.582165228202939,0.7289373287679376
codex,LESS (RR),4,0.5866497401148081,0.7418747582548374
codex,LESS (RR),5,0.6027201730757952,0.7572138966942156
codex,LESS (RR),6,0.612416198477149,0.7622783001814339
codex,LESS (RR),7,0.6079231165349483,0.7604296702790905
codex,LESS (RR),8,0.630462184548378,0.7799628898501396
codex,LESS (RR),9,0.6347078382968903,0.7811923461991388
codex,RDS+ (RR),0,0.7003197800368071,0.8353960399289388
codex,RDS+ (RR),1,0.5793224815279245,0.7283243801746819
codex,RDS+ (RR),2,0.5813458878546953,0.7333700481701542
codex,RDS+ (RR),3,0.5973174590617418,0.7515978511120822
codex,RDS+ (RR),4,0.6005719192326069,0.751602869984266
codex,RDS+ (RR),5,0.5977358147501945,0.7528625604872768
codex,RDS+ (RR),6,0.6035476420074701,0.7558273276364481
codex,RDS+ (RR),7,0.5957170259207487,0.7452117371800784
codex,RDS+ (RR),8,0.5989951491355896,0.7474299694436628
codex,RDS+ (RR),9,0.5893773920834064,0.747755187186035
gsm8k,EMBED (RR),0,1.0655930042266846,8.78407229321576
gsm8k,EMBED (RR),1,1.255176067352295,8.386597795681668
gsm8k,EMBED (RR),2,1.333729773759842,8.427109048075527
gsm8k,EMBED (RR),3,1.34392199665308,8.445487461639589
gsm8k,EMBED (RR),4,1.3677555248141289,8.127526551146142
gsm8k,EMBED (RR),5,1.359971597790718,8.528625286556357
gsm8k,EMBED (RR),6,1.3898560628294945,8.119170313987704
gsm8k,EMBED (RR),7,1.3495826199650764,8.358525426935481
gsm8k,EMBED (RR),8,1.4060733243823051,8.264012696076017
gsm8k,EMBED (RR),9,1.3664317429065704,8.441498233297722
gsm8k,LESS (RR),0,0.8836461454629898,8.300962356295525
gsm8k,LESS (RR),1,1.1658032312989235,8.410026066587042
gsm8k,LESS (RR),2,1.2737126648426056,8.74544819418999
gsm8k,LESS (RR),3,1.3235593363642693,8.73513028619866
gsm8k,LESS (RR),4,1.3461976051330566,8.904184577137887
gsm8k,LESS (RR),5,1.4083975329995155,8.699066159217262
gsm8k,LESS (RR),6,1.4106639623641968,8.73906082452654
gsm8k,LESS (RR),7,1.4722410887479782,8.74828185160292
gsm8k,LESS (RR),8,1.494836002588272,8.767986897720904
gsm8k,LESS (RR),9,1.558504119515419,8.449361865496979
gsm8k,RDS+ (RR),0,1.0248196348547935,9.700628641430766
gsm8k,RDS+ (RR),1,1.2418020963668823,8.496122544963221
gsm8k,RDS+ (RR),2,1.328291542828083,8.378741697075695
gsm8k,RDS+ (RR),3,1.367580123245716,8.150675358240852
gsm8k,RDS+ (RR),4,1.3787243738770485,8.373325981634688
gsm8k,RDS+ (RR),5,1.3995800241827965,8.542958354299225
gsm8k,RDS+ (RR),6,1.3862707316875458,8.349769920901515
gsm8k,RDS+ (RR),7,1.3793352544307709,8.325958882795309
gsm8k,RDS+ (RR),8,1.3895055428147316,8.679122510147963
gsm8k,RDS+ (RR),9,1.4081762582063675,9.134850367169383
mmlu_pro,EMBED (RR),0,2.0845871891294205,4.894896410593882
mmlu_pro,EMBED (RR),1,2.08744666661535,4.3274528063595925
mmlu_pro,EMBED (RR),2,2.0779618186610085,4.69012092958462
mmlu_pro,EMBED (RR),3,2.0665467832769666,5.008336895383261
mmlu_pro,EMBED (RR),4,2.069737583398819,4.838427295650732
mmlu_pro,EMBED (RR),5,2.0443009691579,4.470165670136029
mmlu_pro,EMBED (RR),6,2.068420032092503,4.234303348202338
mmlu_pro,EMBED (RR),7,2.0690427899360655,4.769052973532296
mmlu_pro,EMBED (RR),8,2.0650028705596926,4.567353974998077
mmlu_pro,EMBED (RR),9,2.051128932407924,4.146121679924112
mmlu_pro,LESS (RR),0,1.8382889194147927,5.354943600919177
mmlu_pro,LESS (RR),1,1.9339979614530292,4.116010062059665
mmlu_pro,LESS (RR),2,2.0147755222661154,3.9117656645384873
mmlu_pro,LESS (RR),3,2.077793848514557,4.81280132165139
