dataset,method,bin,true_metric
bbh,EMBED (RR),0,47.67419284242071
bbh,EMBED (RR),1,46.927163549409116
bbh,EMBED (RR),2,46.72087607629623
bbh,EMBED (RR),3,45.299409459758564
bbh,EMBED (RR),4,45.54179135285346
bbh,EMBED (RR),5,44.67827029755158
bbh,EMBED (RR),6,44.00698155459901
bbh,EMBED (RR),7,45.3367218649874
bbh,EMBED (RR),8,42.31383393033023
bbh,EMBED (RR),9,44.07796972461933
bbh,RDS+ (RR),0,48.37446011083074
bbh,RDS+ (RR),1,46.5798034975266
bbh,RDS+ (RR),2,45.35622116434257
bbh,RDS+ (RR),3,45.058905264958746
bbh,RDS+ (RR),4,43.993778550625606
bbh,RDS+ (RR),5,43.41395265294984
bbh,RDS+ (RR),6,43.09117699035218
bbh,RDS+ (RR),7,42.08544928928454
bbh,RDS+ (RR),8,45.396647860967136
bbh,RDS+ (RR),9,47.150265498773855
bbh,LESS (RR),0,47.16898795071345
bbh,LESS (RR),1,46.39357053530474
bbh,LESS (RR),2,46.24510549272205
bbh,LESS (RR),3,46.34351939571544
bbh,LESS (RR),4,45.78501139197569
bbh,LESS (RR),5,45.81861199371906
bbh,LESS (RR),6,46.55466798165419
bbh,LESS (RR),7,46.083037889449905
bbh,LESS (RR),8,46.00418980340211
bbh,LESS (RR),9,46.96420661631755
codex,EMBED (RR),0,60.13513513513513
codex,EMBED (RR),1,58.108108108108105
codex,EMBED (RR),2,56.75675675675676
codex,EMBED (RR),3,58.78378378378378
codex,EMBED (RR),4,55.4054054054054
codex,EMBED (RR),5,60.13513513513513
codex,EMBED (RR),6,56.75675675675676
codex,EMBED (RR),7,59.45945945945946
codex,EMBED (RR),8,58.78378378378378
codex,EMBED (RR),9,55.4054054054054
codex,RDS+ (RR),0,58.108108108108105
codex,RDS+ (RR),1,56.75675675675676
codex,RDS+ (RR),2,55.4054054054054
codex,RDS+ (RR),3,56.08108108108109
codex,RDS+ (RR),4,58.108108108108105
codex,RDS+ (RR),5,60.13513513513513
codex,RDS+ (RR),6,59.45945945945946
codex,RDS+ (RR),7,60.810810810810814
codex,RDS+ (RR),8,58.108108108108105
codex,RDS+ (RR),9,58.78378378378378
codex,LESS (RR),0,56.08108108108109
codex,LESS (RR),1,58.78378378378378
codex,LESS (RR),2,56.75675675675676
codex,LESS (RR),3,58.108108108108105
codex,LESS (RR),4,53.37837837837838
codex,LESS (RR),5,58.78378378378378
codex,LESS (RR),6,57.432432432432435
codex,LESS (RR),7,59.45945945945946
codex,LESS (RR),8,56.08108108108109
codex,LESS (RR),9,58.78378378378378
gsm8k,EMBED (RR),0,33.586050037907505
gsm8k,EMBED (RR),1,28.278999241849885
gsm8k,EMBED (RR),2,27.293404094010615
gsm8k,EMBED (RR),3,27.445034116755117
gsm8k,EMBED (RR),4,24.791508718726305
gsm8k,EMBED (RR),5,28.278999241849885
gsm8k,EMBED (RR),6,26.686884003032603
gsm8k,EMBED (RR),7,27.065959059893856
gsm8k,EMBED (RR),8,25.625473843821077
gsm8k,EMBED (RR),9,25.85291887793783
gsm8k,RDS+ (RR),0,33.965125094768766
gsm8k,RDS+ (RR),1,29.037149355572407
gsm8k,RDS+ (RR),2,28.051554207733133
gsm8k,RDS+ (RR),3,25.17058377558757
gsm8k,RDS+ (RR),4,26.838514025777105
gsm8k,RDS+ (RR),5,26.004548900682334
gsm8k,RDS+ (RR),6,27.369219105382864
gsm8k,RDS+ (RR),7,23.42683851402578
gsm8k,RDS+ (RR),8,23.654283548142534
gsm8k,RDS+ (RR),9,21.37983320697498
gsm8k,LESS (RR),0,33.2827899924185
gsm8k,LESS (RR),1,30.09855951478393
gsm8k,LESS (RR),2,29.41622441243366
gsm8k,LESS (RR),3,29.946929492039427
gsm8k,LESS (RR),4,27.293404094010615
gsm8k,LESS (RR),5,26.611068991660346
gsm8k,LESS (RR),6,28.7338893100834
gsm8k,LESS (RR),7,25.549658832448824
gsm8k,LESS (RR),8,23.275208491281273
gsm8k,LESS (RR),9,15.16300227445034
tydiqa,EMBED (RR),0,50.344161393249195
tydiqa,EMBED (RR),1,50.25362981068471
tydiqa,EMBED (RR),2,47.298235845955475
tydiqa,EMBED (RR),3,54.980284173076484
tydiqa,EMBED (RR),4,48.14558480200147
tydiqa,EMBED (RR),5,42.01020619284777
tydiqa,EMBED (RR),6,46.173502409308355
tydiqa,EMBED (RR),7,48.2122836349039
tydiqa,EMBED (RR),8,42.56626590566327
tydiqa,EMBED (RR),9,42.27657675437564
tydiqa,RDS+ (RR),0,40.44172706229285
tydiqa,RDS+ (RR),1,48.31726616047828
tydiqa,RDS+ (RR),2,55.087104169133966
tydiqa,RDS+ (RR),3,50.87189161249325
tydiqa,RDS+ (RR),4,52.89805565461874
tydiqa,RDS+ (RR),5,47.14769576819741
tydiqa,RDS+ (RR),6,45.166620765973576
tydiqa,RDS+ (RR),7,43.15155826804984
tydiqa,RDS+ (RR),8,42.36972277845739
tydiqa,RDS+ (RR),9,38.24459310994325
tydiqa,LESS (RR),0,64.2205509429609
tydiqa,LESS (RR),1,61.46489856565173
tydiqa,LESS (RR),2,57.5472218198128
tydiqa,LESS (RR),3,53.8528744808274
tydiqa,LESS (RR),4,43.147517174222635
tydiqa,LESS (RR),5,43.95180106118994
tydiqa,LESS (RR),6,32.24659000549083
tydiqa,LESS (RR),7,32.946300019571765
tydiqa,LESS (RR),8,31.82875444121497
tydiqa,LESS (RR),9,31.70899029541288
mmlu_pro,EMBED (RR),0,5.277593085106383
mmlu_pro,EMBED (RR),1,1.146941489361702
mmlu_pro,EMBED (RR),2,3.5239361702127656
mmlu_pro,EMBED (RR),3,2.7426861702127656
mmlu_pro,EMBED (RR),4,11.768617021276597
mmlu_pro,EMBED (RR),5,3.1831781914893615
mmlu_pro,EMBED (RR),6,0.39893617021276595
mmlu_pro,EMBED (RR),7,4.047539893617022
mmlu_pro,EMBED (RR),8,0.6316489361702127
mmlu_pro,EMBED (RR),9,1.146941489361702
mmlu_pro,RDS+ (RR),0,0.08311170212765957
mmlu_pro,RDS+ (RR),1,0.13297872340425532
mmlu_pro,RDS+ (RR),2,4.005984042553192
mmlu_pro,RDS+ (RR),3,1.745345744680851
mmlu_pro,RDS+ (RR),4,1.387965425531915
mmlu_pro,RDS+ (RR),5,1.6289893617021278
mmlu_pro,RDS+ (RR),6,2.501662234042553
mmlu_pro,RDS+ (RR),7,4.122340425531915
mmlu_pro,RDS+ (RR),8,5.618351063829787
mmlu_pro,RDS+ (RR),9,11.619015957446809
mmlu_pro,LESS (RR),0,10.15625
mmlu_pro,LESS (RR),1,8.94281914893617
mmlu_pro,LESS (RR),2,2.1609042553191493
mmlu_pro,LESS (RR),3,4.745678191489362
mmlu_pro,LESS (RR),4,9.699135638297872
mmlu_pro,LESS (RR),5,2.38530585106383
mmlu_pro,LESS (RR),6,0.4321808510638298
mmlu_pro,LESS (RR),7,2.044547872340426
mmlu_pro,LESS (RR),8,3.5073138297872344
mmlu_pro,LESS (RR),9,1.7619680851063828
