dataset,method,num_samples,dev,test,seed
bbh,EMBED (RR),500,0.38553389046847086,7.013980977886046,0
bbh,EMBED (RR),500,0.38518394253872057,7.052110010844151,1
bbh,EMBED (RR),500,0.38409868678376996,7.081920055104664,2
bbh,EMBED (RR),1000,0.3758334786067774,7.100455798772857,0
bbh,EMBED (RR),1000,0.3736400153533912,7.194111863143468,1
bbh,EMBED (RR),1000,0.37405832056645993,7.19170929580547,2
bbh,EMBED (RR),2500,0.3719697988327639,7.434661168177691,0
bbh,EMBED (RR),2500,0.3715645337454331,7.395882294778907,1
bbh,EMBED (RR),2500,0.3700220244994134,7.243631481190574,2
bbh,EMBED (RR),5000,0.37044162468777764,7.74051406446314,0
bbh,EMBED (RR),5000,0.37037458850277793,7.866607921699503,1
bbh,EMBED (RR),5000,0.3700803841613693,7.716050277875327,2
bbh,EMBED (RR),10000,0.36512711290040134,7.626562868078593,0
bbh,EMBED (RR),10000,0.36561086907246965,7.62641768279923,1
bbh,EMBED (RR),10000,0.36644118113650215,7.637317683505968,2
bbh,LESS (DG),500,0.35216858955445113,6.360115412339474,0
bbh,LESS (DG),500,0.3522617614103688,6.346806213545774,1
bbh,LESS (DG),500,0.35145242273071664,6.360658387117279,2
bbh,LESS (DG),1000,0.35388437120450866,7.0356154951828085,0
bbh,LESS (DG),1000,0.3535563005709354,7.2670400117494935,1
bbh,LESS (DG),1000,0.3552144898308648,7.21993494637092,2
bbh,LESS (DG),2500,0.352507302928486,7.787126101458463,0
bbh,LESS (DG),2500,0.3519206457759863,7.867805731596805,1
bbh,LESS (DG),2500,0.3578359324163125,8.010097766303371,2
bbh,LESS (DG),5000,0.35865338339849756,7.73608192262736,0
bbh,LESS (DG),5000,0.35587789587400576,8.010050888335059,1
bbh,LESS (DG),5000,0.3584878076741725,7.834339603834338,2
bbh,LESS (DG),10000,0.36174683047481526,7.817522608030961,0
bbh,LESS (DG),10000,0.36084041693880237,7.751124411688626,1
bbh,LESS (DG),10000,0.36240354401093944,7.805222788424266,2
bbh,LESS (KNN-KDE),500,0.34308219259535827,5.945748246236984,0
bbh,LESS (KNN-KDE),500,0.3424830952268324,5.8702007137517045,1
bbh,LESS (KNN-KDE),500,0.34218337511022884,6.063361027542484,2
bbh,LESS (KNN-KDE),1000,0.3403350866319221,6.631266223122824,0
bbh,LESS (KNN-KDE),1000,0.3402128311586969,6.668916709873281,1
bbh,LESS (KNN-KDE),1000,0.34200652684142563,6.725876454301115,2
bbh,LESS (KNN-KDE),2500,0.35042631851486217,7.3400647083820605,0
bbh,LESS (KNN-KDE),2500,0.349622248729438,7.405699115683087,1
bbh,LESS (KNN-KDE),2500,0.34453411041586485,7.436729558124609,2
bbh,LESS (KNN-KDE),5000,0.3525205157973148,7.4332465900929545,0
bbh,LESS (KNN-KDE),5000,0.35264457886417705,7.592667530033743,1
bbh,LESS (KNN-KDE),5000,0.35477375850817305,7.670955956403313,2
bbh,LESS (KNN-KDE),10000,0.3567542983793918,7.8536905361895295,0
bbh,LESS (KNN-KDE),10000,0.35478810501503355,7.611336852928915,1
bbh,LESS (KNN-KDE),10000,0.3521600923052541,7.790341988757466,2
bbh,LESS (KNN-Unif.),500,0.34234045289548826,5.9596108916149655,0
bbh,LESS (KNN-Unif.),500,0.3420533236622075,5.915769033265579,1
bbh,LESS (KNN-Unif.),500,0.34222122792292525,5.854181209617158,2
bbh,LESS (KNN-Unif.),1000,0.34035272979074055,6.670420315367819,0
bbh,LESS (KNN-Unif.),1000,0.34009615764205836,6.5434085998625235,1
bbh,LESS (KNN-Unif.),1000,0.3402293730573154,6.604564081201757,2
bbh,LESS (KNN-Unif.),2500,0.34806117718970336,7.3363071060770215,0
bbh,LESS (KNN-Unif.),2500,0.3480308549823584,7.455250696219748,1
bbh,LESS (KNN-Unif.),2500,0.345656883707385,7.4041622069332025,2
bbh,LESS (KNN-Unif.),5000,0.35447491824994853,7.5317436836132385,0
bbh,LESS (KNN-Unif.),5000,0.35433216415989544,7.658432071658621,1
bbh,LESS (KNN-Unif.),5000,0.35211263307266766,7.672640795056638,2
bbh,LESS (KNN-Unif.),10000,0.3568930049645312,7.693621108314442,0
bbh,LESS (KNN-Unif.),10000,0.35582008599131193,7.867630417638798,1
bbh,LESS (KNN-Unif.),10000,0.360401817585951,7.941071736118684,2
bbh,LESS (RR),500,0.34182047315033864,6.693453407044089,0
bbh,LESS (RR),500,0.34207453413142097,6.4719790787287454,1
bbh,LESS (RR),500,0.34239366126281245,6.638563591806666,2
