dataset,method,num_samples,seed,true_metric
bbh,Random,500,0,46.77499101997287
bbh,Random,500,1,45.865312719708875
bbh,Random,500,2,45.66301569232877
bbh,Random,1000,0,47.48104491635352
bbh,Random,1000,1,47.41095072811611
bbh,Random,1000,2,46.51527352097208
bbh,Random,2500,0,47.91906438344885
bbh,Random,2500,1,48.31937071798727
bbh,Random,2500,2,47.664823605074766
bbh,Random,5000,0,48.464863540016765
bbh,Random,5000,1,48.99636876754642
bbh,Random,5000,2,48.03137904835521
bbh,Random,10000,0,48.61215053229468
bbh,Random,10000,1,48.85298980259733
bbh,Random,10000,2,48.36691252872839
bbh,EMBED (RR),500,0,47.241067582329165
bbh,EMBED (RR),500,1,47.662297082862224
bbh,EMBED (RR),500,2,47.46957262570079
bbh,EMBED (RR),1000,0,48.94588131890055
bbh,EMBED (RR),1000,1,48.33324756771052
bbh,EMBED (RR),1000,2,48.66470884241621
bbh,EMBED (RR),2500,0,49.25657736268605
bbh,EMBED (RR),2500,1,48.88853486410367
bbh,EMBED (RR),2500,2,48.42256436407582
bbh,EMBED (RR),5000,0,49.473235495164175
bbh,EMBED (RR),5000,1,49.97473341216064
bbh,EMBED (RR),5000,2,49.76969023867774
bbh,EMBED (RR),10000,0,49.62602312025847
bbh,EMBED (RR),10000,1,49.6286659964303
bbh,EMBED (RR),10000,2,49.34275587010875
bbh,RDS+ (RR),500,0,48.207269555645745
bbh,RDS+ (RR),500,1,48.666354344935414
bbh,RDS+ (RR),500,2,48.197094729919826
bbh,RDS+ (RR),1000,0,48.73504668867235
bbh,RDS+ (RR),1000,1,49.205543494288534
bbh,RDS+ (RR),1000,2,48.155617677253915
bbh,RDS+ (RR),2500,0,49.142944381325904
bbh,RDS+ (RR),2500,1,49.73942897849496
bbh,RDS+ (RR),2500,2,49.17687841239888
bbh,RDS+ (RR),5000,0,49.60029578683618
bbh,RDS+ (RR),5000,1,50.078428714284186
bbh,RDS+ (RR),5000,2,49.46869316682353
bbh,RDS+ (RR),10000,0,48.98871368423831
bbh,RDS+ (RR),10000,1,49.421260479073595
bbh,RDS+ (RR),10000,2,49.715728401300936
bbh,LESS (DG),500,0,46.517716722433825
bbh,LESS (DG),500,1,46.51964848837252
bbh,LESS (DG),500,2,46.50343587742387
bbh,LESS (DG),1000,0,46.63356200203071
bbh,LESS (DG),1000,1,46.71584088370478
bbh,LESS (DG),1000,2,46.60351781721827
bbh,LESS (DG),2500,0,47.598734861036924
bbh,LESS (DG),2500,1,47.81521012196527
bbh,LESS (DG),2500,2,47.54086283801537
bbh,LESS (DG),5000,0,48.44332719280251
bbh,LESS (DG),5000,1,47.838267996567296
bbh,LESS (DG),5000,2,48.41455871904314
bbh,LESS (DG),10000,0,49.25449288065157
bbh,LESS (DG),10000,1,49.108305751549246
bbh,LESS (DG),10000,2,49.062314843241786
bbh,LESS (UOT),500,0,46.38894578856011
bbh,LESS (UOT),500,1,46.14800912577442
bbh,LESS (UOT),500,2,45.97343666667246
bbh,LESS (UOT),1000,0,46.24994908294893
bbh,LESS (UOT),1000,1,46.640994912928555
bbh,LESS (UOT),1000,2,47.088136776749614
bbh,LESS (UOT),2500,0,47.54052151924835
bbh,LESS (UOT),2500,1,47.14517968940553
bbh,LESS (UOT),2500,2,47.43598324232281
bbh,LESS (UOT),5000,0,47.537578039659536
bbh,LESS (UOT),5000,1,47.696041279682596
bbh,LESS (UOT),5000,2,47.61678079676794
bbh,LESS (UOT),10000,0,47.826920071250036
bbh,LESS (UOT),10000,1,47.87428168090012
bbh,LESS (UOT),10000,2,48.54864714591829
bbh,LESS (RR),500,0,47.16361104915098
bbh,LESS (RR),500,1,47.009697758640705
bbh,LESS (RR),500,2,47.23186708383134
bbh,LESS (RR),1000,0,47.7931316472435
bbh,LESS (RR),1000,1,47.49649187386423
bbh,LESS (RR),1000,2,47.446221768853924
bbh,LESS (RR),2500,0,48.25016348786051
bbh,LESS (RR),2500,1,47.917048309055474
bbh,LESS (RR),2500,2,48.74650346871554
bbh,LESS (RR),5000,0,50.072068571770686
bbh,LESS (RR),5000,1,49.52434311212028
bbh,LESS (RR),5000,2,49.29894977504282
bbh,LESS (RR),10000,0,48.78619208225452
bbh,LESS (RR),10000,1,49.797185159699985
bbh,LESS (RR),10000,2,48.61156939657967
bbh,LESS (KNN-Unif.),500,0,45.59189982804503
bbh,LESS (KNN-Unif.),500,1,45.4376615097853
bbh,LESS (KNN-Unif.),500,2,45.721674073988716
bbh,LESS (KNN-Unif.),1000,0,47.016461652563386
bbh,LESS (KNN-Unif.),1000,1,46.95187838877324
bbh,LESS (KNN-Unif.),1000,2,47.1247524483244
bbh,LESS (KNN-Unif.),2500,0,47.09143759785775
bbh,LESS (KNN-Unif.),2500,1,47.06555208548346
bbh,LESS (KNN-Unif.),2500,2,46.99738315165527
bbh,LESS (KNN-Unif.),5000,0,47.4606030913974
bbh,LESS (KNN-Unif.),5000,1,48.5421369577677
bbh,LESS (KNN-Unif.),5000,2,47.55835878118923
bbh,LESS (KNN-Unif.),10000,0,48.844793128312226
bbh,LESS (KNN-Unif.),10000,1,49.44432675525579
bbh,LESS (KNN-Unif.),10000,2,48.04121801817027
bbh,LESS (KNN-KDE),500,0,45.28911125640114
bbh,LESS (KNN-KDE),500,1,45.834068218575084
bbh,LESS (KNN-KDE),500,2,45.80353215721576
bbh,LESS (KNN-KDE),1000,0,46.26133094382151
bbh,LESS (KNN-KDE),1000,1,46.72878471904991
bbh,LESS (KNN-KDE),1000,2,46.64448481226905
bbh,LESS (KNN-KDE),2500,0,47.343677422244006
bbh,LESS (KNN-KDE),2500,1,47.0063536126932
bbh,LESS (KNN-KDE),2500,2,47.68690475025525
bbh,LESS (KNN-KDE),5000,0,48.4306576464912
bbh,LESS (KNN-KDE),5000,1,47.992065445261034
bbh,LESS (KNN-KDE),5000,2,48.22702829189443
bbh,LESS (KNN-KDE),10000,0,48.99951251934521
bbh,LESS (KNN-KDE),10000,1,48.52672228963911
bbh,LESS (KNN-KDE),10000,2,48.83329947398974
codex,Random,500,0,58.78378378378378
codex,Random,500,1,57.432432432432435
codex,Random,500,2,52.702702702702695
codex,Random,1000,0,51.35135135135135
codex,Random,1000,1,59.45945945945946
codex,Random,1000,2,66.8918918918919
codex,Random,2500,0,57.432432432432435
codex,Random,2500,1,60.13513513513513
codex,Random,2500,2,61.48648648648649
codex,Random,5000,0,58.78378378378378
codex,Random,5000,1,58.108108108108105
codex,Random,5000,2,60.13513513513513
codex,Random,10000,0,60.13513513513513
codex,Random,10000,1,61.48648648648649
codex,Random,10000,2,53.37837837837838
codex,EMBED (RR),500,0,58.78378378378378
codex,EMBED (RR),500,1,56.08108108108109
codex,EMBED (RR),500,2,62.16216216216216
codex,EMBED (RR),1000,0,58.78378378378378
codex,EMBED (RR),1000,1,58.108108108108105
codex,EMBED (RR),1000,2,60.810810810810814
codex,EMBED (RR),2500,0,58.108108108108105
codex,EMBED (RR),2500,1,59.45945945945946
codex,EMBED (RR),2500,2,66.8918918918919
codex,EMBED (RR),5000,0,58.108108108108105
codex,EMBED (RR),5000,1,59.45945945945946
codex,EMBED (RR),5000,2,56.75675675675676
codex,EMBED (RR),10000,0,58.108108108108105
codex,EMBED (RR),10000,1,65.54054054054053
codex,EMBED (RR),10000,2,64.1891891891892
codex,RDS+ (RR),500,0,60.13513513513513
codex,RDS+ (RR),500,1,60.13513513513513
codex,RDS+ (RR),500,2,60.13513513513513
codex,RDS+ (RR),1000,0,62.16216216216216
codex,RDS+ (RR),1000,1,60.810810810810814
codex,RDS+ (RR),1000,2,58.78378378378378
codex,RDS+ (RR),2500,0,55.4054054054054
codex,RDS+ (RR),2500,1,60.13513513513513
codex,RDS+ (RR),2500,2,58.78378378378378
codex,RDS+ (RR),5000,0,61.48648648648649
codex,RDS+ (RR),5000,1,60.810810810810814
codex,RDS+ (RR),5000,2,60.810810810810814
codex,RDS+ (RR),10000,0,60.13513513513513
codex,RDS+ (RR),10000,1,58.108108108108105
codex,RDS+ (RR),10000,2,62.16216216216216
codex,LESS (DG),500,0,56.75675675675676
codex,LESS (DG),500,1,55.4054054054054
codex,LESS (DG),500,2,58.108108108108105
codex,LESS (DG),1000,0,58.108108108108105
codex,LESS (DG),1000,1,58.108108108108105
codex,LESS (DG),1000,2,56.75675675675676
codex,LESS (DG),2500,0,60.13513513513513
codex,LESS (DG),2500,1,57.432432432432435
codex,LESS (DG),2500,2,52.702702702702695
codex,LESS (DG),5000,0,56.75675675675676
codex,LESS (DG),5000,1,58.78378378378378
codex,LESS (DG),5000,2,57.432432432432435
codex,LESS (DG),10000,0,55.4054054054054
codex,LESS (DG),10000,1,56.75675675675676
codex,LESS (DG),10000,2,57.432432432432435
codex,LESS (UOT),500,0,54.729729729729726
codex,LESS (UOT),500,1,55.4054054054054
codex,LESS (UOT),500,2,56.08108108108109
codex,LESS (UOT),1000,0,56.08108108108109
codex,LESS (UOT),1000,1,56.08108108108109
codex,LESS (UOT),1000,2,60.13513513513513
codex,LESS (UOT),2500,0,58.108108108108105
codex,LESS (UOT),2500,1,55.4054054054054
codex,LESS (UOT),2500,2,56.75675675675676
codex,LESS (UOT),5000,0,59.45945945945946
codex,LESS (UOT),5000,1,55.4054054054054
codex,LESS (UOT),5000,2,54.729729729729726
codex,LESS (UOT),10000,0,59.45945945945946
codex,LESS (UOT),10000,1,53.37837837837838
codex,LESS (UOT),10000,2,58.108108108108105
codex,LESS (RR),500,0,58.108108108108105
codex,LESS (RR),500,1,56.08108108108109
codex,LESS (RR),500,2,59.45945945945946
codex,LESS (RR),1000,0,53.37837837837838
codex,LESS (RR),1000,1,59.45945945945946
codex,LESS (RR),1000,2,56.08108108108109
codex,LESS (RR),2500,0,57.432432432432435
codex,LESS (RR),2500,1,54.054054054054056
codex,LESS (RR),2500,2,56.75675675675676
codex,LESS (RR),5000,0,60.810810810810814
codex,LESS (RR),5000,1,58.78378378378378
codex,LESS (RR),5000,2,54.729729729729726
codex,LESS (RR),10000,0,60.13513513513513
codex,LESS (RR),10000,1,58.78378378378378
codex,LESS (RR),10000,2,56.08108108108109
codex,LESS (KNN-Unif.),500,0,54.054054054054056
codex,LESS (KNN-Unif.),500,1,54.729729729729726
codex,LESS (KNN-Unif.),500,2,52.02702702702703
codex,LESS (KNN-Unif.),1000,0,54.054054054054056
codex,LESS (KNN-Unif.),1000,1,54.729729729729726
codex,LESS (KNN-Unif.),1000,2,52.702702702702695
codex,LESS (KNN-Unif.),2500,0,58.78378378378378
codex,LESS (KNN-Unif.),2500,1,58.78378378378378
codex,LESS (KNN-Unif.),2500,2,55.4054054054054
codex,LESS (KNN-Unif.),5000,0,57.432432432432435
codex,LESS (KNN-Unif.),5000,1,60.810810810810814
codex,LESS (KNN-Unif.),5000,2,59.45945945945946
codex,LESS (KNN-Unif.),10000,0,56.08108108108109
codex,LESS (KNN-Unif.),10000,1,55.4054054054054
codex,LESS (KNN-Unif.),10000,2,54.729729729729726
codex,LESS (KNN-KDE),500,0,55.4054054054054
codex,LESS (KNN-KDE),500,1,58.108108108108105
codex,LESS (KNN-KDE),500,2,56.08108108108109
codex,LESS (KNN-KDE),1000,0,57.432432432432435
codex,LESS (KNN-KDE),1000,1,56.08108108108109
codex,LESS (KNN-KDE),1000,2,51.35135135135135
codex,LESS (KNN-KDE),2500,0,62.16216216216216
codex,LESS (KNN-KDE),2500,1,56.75675675675676
codex,LESS (KNN-KDE),2500,2,58.108108108108105
codex,LESS (KNN-KDE),5000,0,58.108108108108105
codex,LESS (KNN-KDE),5000,1,58.108108108108105
codex,LESS (KNN-KDE),5000,2,52.702702702702695
codex,LESS (KNN-KDE),10000,0,58.78378378378378
codex,LESS (KNN-KDE),10000,1,58.108108108108105
codex,LESS (KNN-KDE),10000,2,58.108108108108105
gsm8k,Random,500,0,28.354814253222138
gsm8k,Random,500,1,25.85291887793783
gsm8k,Random,500,2,27.748294162244125
gsm8k,Random,1000,0,28.354814253222138
gsm8k,Random,1000,1,29.567854435178166
gsm8k,Random,1000,2,29.567854435178166
gsm8k,Random,2500,0,32.752084912812734
gsm8k,Random,2500,1,31.69067475360121
gsm8k,Random,2500,2,31.387414708112203
gsm8k,Random,5000,0,33.81349507202426
gsm8k,Random,5000,1,33.81349507202426
gsm8k,Random,5000,2,32.221379833206974
gsm8k,Random,10000,0,36.08794541319181
gsm8k,Random,10000,1,34.34420015163002
gsm8k,Random,10000,2,35.10235026535254
