dataset,method,bin,dev,test
bbh,EMBED (RR),0,0.3308141446315948,6.500515300783396
bbh,EMBED (RR),1,0.3272480595810914,6.485414019178052
bbh,EMBED (RR),2,0.3286005369399065,6.395009037042576
bbh,EMBED (RR),3,0.3261364827185501,6.146110902750223
bbh,EMBED (RR),4,0.32755569984883437,5.882306547835755
bbh,EMBED (RR),5,0.3283433702164962,6.0398652407911
bbh,EMBED (RR),6,0.3277254856571003,5.964582351784317
bbh,EMBED (RR),7,0.3312939223775893,5.922293153954914
bbh,EMBED (RR),8,0.3342709180749493,6.143291569565357
bbh,EMBED (RR),9,0.3309783814130006,5.861015257363385
bbh,LESS (RR),0,0.32570562824422933,5.993780762282151
bbh,LESS (RR),1,0.3280944066743056,6.206451898656707
bbh,LESS (RR),2,0.3298303175855566,6.269312644541273
bbh,LESS (RR),3,0.32910512824669297,5.9350389326118576
bbh,LESS (RR),4,0.32986996033125454,6.370433311000285
bbh,LESS (RR),5,0.3307628820615786,6.034835585204344
bbh,LESS (RR),6,0.33024634172519046,6.125414012196499
bbh,LESS (RR),7,0.32929783443241945,6.173113786264272
bbh,LESS (RR),8,0.33144102305357837,6.093010934124965
bbh,LESS (RR),9,0.3259415902013396,6.001685820852917
bbh,RDS+ (RR),0,0.34091058773575006,6.664624232380571
bbh,RDS+ (RR),1,0.3293013913028034,6.296359784343864
bbh,RDS+ (RR),2,0.3306438773870468,6.236328009727125
bbh,RDS+ (RR),3,0.3266747407615185,6.02616005006281
bbh,RDS+ (RR),4,0.32559559172318303,5.889706892958802
bbh,RDS+ (RR),5,0.3285547869256985,6.204733259830583
bbh,RDS+ (RR),6,0.326999393740186,5.9649099155956105
bbh,RDS+ (RR),7,0.3286399047039909,5.891062750096439
bbh,RDS+ (RR),8,0.3306313249523993,5.940676253194579
bbh,RDS+ (RR),9,0.3294309241536223,5.888958540357875
codex,EMBED (RR),0,0.8539301883429289,0.9198059768894234
codex,EMBED (RR),1,0.8330845162272453,0.9031052696141036
codex,EMBED (RR),2,0.8283815737813711,0.9004218839108944
codex,EMBED (RR),3,0.833528308197856,0.9037024362667186
codex,EMBED (RR),4,0.8297678753733635,0.9013358096818667
codex,EMBED (RR),5,0.8316984977573156,0.9024527133316607
codex,EMBED (RR),6,0.8296931758522987,0.9001287798825148
codex,EMBED (RR),7,0.8220698833465576,0.8954881853549868
codex,EMBED (RR),8,0.823935117572546,0.8961590174082164
codex,EMBED (RR),9,0.8445228971540928,0.911714456572726
codex,LESS (RR),0,0.7819497548043728,0.8542220361933515
codex,LESS (RR),1,0.8109214156866074,0.8833581661251751
codex,LESS (RR),2,0.8176867756992579,0.8930844679676198
codex,LESS (RR),3,0.8258230071514845,0.8970361939958624
codex,LESS (RR),4,0.8379758838564157,0.9072468838578945
codex,LESS (RR),5,0.829552261158824,0.9007764451608464
codex,LESS (RR),6,0.8432764131575823,0.9121482587746672
codex,LESS (RR),7,0.8415491636842489,0.9110233632696642
codex,LESS (RR),8,0.8419427089393139,0.9128882726906119
codex,LESS (RR),9,0.8508438244462013,0.9209809720113471
codex,RDS+ (RR),0,0.8478999715298414,0.9149372489065737
codex,RDS+ (RR),1,0.8351157195866108,0.9044823361611044
codex,RDS+ (RR),2,0.8366245869547129,0.9055807033704745
codex,RDS+ (RR),3,0.8387130834162235,0.9100216088464131
codex,RDS+ (RR),4,0.837357297539711,0.9082539117819554
codex,RDS+ (RR),5,0.8324993308633566,0.905639851314796
codex,RDS+ (RR),6,0.8330896701663733,0.9047693341366343
codex,RDS+ (RR),7,0.8314134292304516,0.9051196799689049
codex,RDS+ (RR),8,0.8261736128479242,0.8985736004605487
codex,RDS+ (RR),9,0.8270142674446106,0.8958799668864624
gsm8k,EMBED (RR),0,0.9655320793390274,8.347255394438887
gsm8k,EMBED (RR),1,1.0865005403757095,8.38073301170702
gsm8k,EMBED (RR),2,1.0757519230246544,8.472003373528539
gsm8k,EMBED (RR),3,1.1130488142371178,8.415874672442156
gsm8k,EMBED (RR),4,1.0909420922398567,8.281987518862941
gsm8k,EMBED (RR),5,1.120377205312252,8.277465446868387
gsm8k,EMBED (RR),6,1.1059832721948624,8.168954673547288
gsm8k,EMBED (RR),7,1.1311893910169601,8.301386693646458
gsm8k,EMBED (RR),8,1.118880495429039,8.294632787682778
gsm8k,EMBED (RR),9,1.1281717643141747,8.23921834491617
gsm8k,LESS (RR),0,0.8864149153232574,8.185913377679416
gsm8k,LESS (RR),1,1.0849835574626923,8.527365879365401
gsm8k,LESS (RR),2,1.1130634397268295,8.42203324775609
gsm8k,LESS (RR),3,1.1264121383428574,8.523955127160779
gsm8k,LESS (RR),4,1.1190196946263313,8.461201922291604
gsm8k,LESS (RR),5,1.113236904144287,8.569531621491937
gsm8k,LESS (RR),6,1.0926789417862892,8.351416815945015
gsm8k,LESS (RR),7,1.134146086871624,8.512428354909693
gsm8k,LESS (RR),8,1.106945589184761,8.293150832383718
gsm8k,LESS (RR),9,1.1338361948728561,8.133418137779554
gsm8k,RDS+ (RR),0,0.9134334921836853,8.49514974871759
gsm8k,RDS+ (RR),1,1.1419899612665176,8.5066303820028
gsm8k,RDS+ (RR),2,1.128175027668476,8.390840196717951
gsm8k,RDS+ (RR),3,1.0884494855999947,8.468401536514941
gsm8k,RDS+ (RR),4,1.108648844063282,8.46256015624306
gsm8k,RDS+ (RR),5,1.0746711194515228,8.318404535708597
gsm8k,RDS+ (RR),6,1.0810936838388443,8.411068466235688
gsm8k,RDS+ (RR),7,1.1028519719839096,8.523043849777325
gsm8k,RDS+ (RR),8,1.1157043725252151,8.256164420636157
gsm8k,RDS+ (RR),9,1.089909553527832,8.218282989519306
mmlu_pro,EMBED (RR),0,1.8561373438153947,4.289655364594085
mmlu_pro,EMBED (RR),1,1.8652025869914464,3.9944658232951893
mmlu_pro,EMBED (RR),2,1.875744924374989,4.693904332539185
mmlu_pro,EMBED (RR),3,1.8848840381417955,4.973457662983144
mmlu_pro,EMBED (RR),4,1.860210587297167,4.713746903642536
mmlu_pro,EMBED (RR),5,1.8458889969757626,4.625872606916868
mmlu_pro,EMBED (RR),6,1.8851849240916116,4.6590703113123455
mmlu_pro,EMBED (RR),7,1.8939555474690029,4.8990490002002804
mmlu_pro,EMBED (RR),8,1.8786807239055634,4.8348591068482145
