dataset,method,bin,true_metric
bbh,EMBED (RR),0,63.91935691452031
bbh,EMBED (RR),1,64.13856698124732
bbh,EMBED (RR),2,64.82363413276686
bbh,EMBED (RR),3,64.49405145870301
bbh,EMBED (RR),4,64.53719576776193
bbh,EMBED (RR),5,64.41837853587712
bbh,EMBED (RR),6,64.48860321077545
bbh,EMBED (RR),7,63.51462244728459
bbh,EMBED (RR),8,63.92595714224703
bbh,EMBED (RR),9,63.344612387642194
bbh,RDS+ (RR),0,61.40638592646306
bbh,RDS+ (RR),1,64.16569211080343
bbh,RDS+ (RR),2,63.81040028438556
bbh,RDS+ (RR),3,64.37116508181343
bbh,RDS+ (RR),4,64.63466903520502
bbh,RDS+ (RR),5,64.44603190411664
bbh,RDS+ (RR),6,64.13511395618612
bbh,RDS+ (RR),7,64.71091280211506
bbh,RDS+ (RR),8,64.63978220762982
bbh,RDS+ (RR),9,64.83958796529124
bbh,LESS (RR),0,63.9085083649833
bbh,LESS (RR),1,64.1970627453846
bbh,LESS (RR),2,63.42572515681552
bbh,LESS (RR),3,64.33857646198545
bbh,LESS (RR),4,63.72964128392608
bbh,LESS (RR),5,63.693763036967596
bbh,LESS (RR),6,63.94994587291123
bbh,LESS (RR),7,64.22781536997148
bbh,LESS (RR),8,64.51102756477364
bbh,LESS (RR),9,64.53473576313982
codex,EMBED (RR),0,82.43243243243244
codex,EMBED (RR),1,85.13513513513513
codex,EMBED (RR),2,81.75675675675676
codex,EMBED (RR),3,81.75675675675676
codex,EMBED (RR),4,84.45945945945947
codex,EMBED (RR),5,83.1081081081081
codex,EMBED (RR),6,81.75675675675676
codex,EMBED (RR),7,81.75675675675676
codex,EMBED (RR),8,82.43243243243244
codex,EMBED (RR),9,82.43243243243244
codex,RDS+ (RR),0,83.78378378378379
codex,RDS+ (RR),1,83.78378378378379
codex,RDS+ (RR),2,81.75675675675676
codex,RDS+ (RR),3,82.43243243243244
codex,RDS+ (RR),4,83.78378378378379
codex,RDS+ (RR),5,85.13513513513513
codex,RDS+ (RR),6,85.13513513513513
codex,RDS+ (RR),7,85.8108108108108
codex,RDS+ (RR),8,79.05405405405406
codex,RDS+ (RR),9,83.78378378378379
codex,LESS (RR),0,84.45945945945947
codex,LESS (RR),1,83.78378378378379
codex,LESS (RR),2,84.45945945945947
codex,LESS (RR),3,83.78378378378379
codex,LESS (RR),4,79.05405405405406
codex,LESS (RR),5,81.75675675675676
codex,LESS (RR),6,81.75675675675676
codex,LESS (RR),7,81.75675675675676
codex,LESS (RR),8,82.43243243243244
codex,LESS (RR),9,81.08108108108108
gsm8k,EMBED (RR),0,64.59438968915845
gsm8k,EMBED (RR),1,28.50644427596664
gsm8k,EMBED (RR),2,21.607278241091738
gsm8k,EMBED (RR),3,47.23275208491281
gsm8k,EMBED (RR),4,68.7642153146323
gsm8k,EMBED (RR),5,75.13267626990144
gsm8k,EMBED (RR),6,75.05686125852918
gsm8k,EMBED (RR),7,73.1614859742229
gsm8k,EMBED (RR),8,74.98104624715694
gsm8k,EMBED (RR),9,75.43593631539045
gsm8k,RDS+ (RR),0,75.2084912812737
gsm8k,RDS+ (RR),1,69.52236542835482
gsm8k,RDS+ (RR),2,75.5117513267627
gsm8k,RDS+ (RR),3,44.50341167551175
gsm8k,RDS+ (RR),4,56.25473843821076
gsm8k,RDS+ (RR),5,40.63684609552691
gsm8k,RDS+ (RR),6,67.09628506444277
gsm8k,RDS+ (RR),7,25.094768764215313
gsm8k,RDS+ (RR),8,67.70280515542078
gsm8k,RDS+ (RR),9,48.44579226686884
gsm8k,LESS (RR),0,75.43593631539045
gsm8k,LESS (RR),1,60.50037907505686
gsm8k,LESS (RR),2,75.43593631539045
gsm8k,LESS (RR),3,60.72782410917361
gsm8k,LESS (RR),4,64.97346474601972
gsm8k,LESS (RR),5,62.92645943896892
gsm8k,LESS (RR),6,62.39575435936315
gsm8k,LESS (RR),7,52.91887793783169
gsm8k,LESS (RR),8,46.626231993934795
gsm8k,LESS (RR),9,75.43593631539045
tydiqa,EMBED (RR),0,48.964312465660946
tydiqa,EMBED (RR),1,51.495750853693885
tydiqa,EMBED (RR),2,51.315987103375484
tydiqa,EMBED (RR),3,54.104136549249816
tydiqa,EMBED (RR),4,52.21563025379086
tydiqa,EMBED (RR),5,48.73665919909666
tydiqa,EMBED (RR),6,53.36545434843691
tydiqa,EMBED (RR),7,51.57405287751695
tydiqa,EMBED (RR),8,50.54880767314881
tydiqa,EMBED (RR),9,50.41038187219775
tydiqa,RDS+ (RR),0,54.2988932662121
tydiqa,RDS+ (RR),1,55.927761891567904
tydiqa,RDS+ (RR),2,47.277396764042656
tydiqa,RDS+ (RR),3,48.9005692931884
tydiqa,RDS+ (RR),4,52.436923025900626
tydiqa,RDS+ (RR),5,55.38151418106738
tydiqa,RDS+ (RR),6,52.81089166957749
tydiqa,RDS+ (RR),7,53.165976146642244
tydiqa,RDS+ (RR),8,51.465498569646876
tydiqa,RDS+ (RR),9,48.27224509072927
tydiqa,LESS (RR),0,61.76645249651386
tydiqa,LESS (RR),1,57.87073347501999
tydiqa,LESS (RR),2,53.47105893519462
tydiqa,LESS (RR),3,55.34545953281609
tydiqa,LESS (RR),4,51.97569106254722
tydiqa,LESS (RR),5,52.6819935285903
tydiqa,LESS (RR),6,49.05884798594696
tydiqa,LESS (RR),7,45.5935537721704
tydiqa,LESS (RR),8,45.281175179605306
