dataset,method,num_samples,dev,test,seed
bbh,EMBED (RR),500,0.3307683372663127,6.498621504229163,0
bbh,EMBED (RR),500,0.33061051216942294,6.728183108785152,1
bbh,EMBED (RR),500,0.3304892548900328,6.526696446798415,2
bbh,EMBED (RR),1000,0.3255944736761811,6.9350147737260786,0
bbh,EMBED (RR),1000,0.3253919432560603,6.994025210423543,1
bbh,EMBED (RR),1000,0.3259394874359355,6.919442650131542,2
bbh,EMBED (RR),2500,0.3266535266130059,7.288619401844539,0
bbh,EMBED (RR),2500,0.32653629526863864,7.303562067260282,1
bbh,EMBED (RR),2500,0.32836052315470615,7.430807301872173,2
bbh,EMBED (RR),5000,0.3335103214614921,7.726135495785212,0
bbh,EMBED (RR),5000,0.3391406015021565,7.818495343511802,1
bbh,EMBED (RR),5000,0.3316033360214881,7.6752533744216755,2
bbh,EMBED (RR),10000,0.35006925408486966,8.066991972760329,0
bbh,EMBED (RR),10000,0.3464445030707636,8.006028012468818,1
bbh,EMBED (RR),10000,0.3468051744096073,8.008108420848773,2
bbh,LESS (DG),500,0.32150647370719615,5.640536517220659,0
bbh,LESS (DG),500,0.32049966019428805,5.61203014204312,1
bbh,LESS (DG),500,0.32226726569143344,5.457051637818637,2
bbh,LESS (DG),1000,0.3173449475456167,5.4582584716907165,0
bbh,LESS (DG),1000,0.3165433443622825,5.649258414586922,1
bbh,LESS (DG),1000,0.31742253384472413,5.587812740010722,2
bbh,LESS (DG),2500,0.31894512423946536,6.306059959370169,0
bbh,LESS (DG),2500,0.3196477983376862,6.556863660115541,1
bbh,LESS (DG),2500,0.3244962762627337,6.590085429550957,2
bbh,LESS (DG),5000,0.3287057464045507,6.803770772956004,0
bbh,LESS (DG),5000,0.32465058256998475,6.783476150304999,1
bbh,LESS (DG),5000,0.3300715188645286,6.769578372657692,2
bbh,LESS (DG),10000,0.32961966860809444,7.029819849860813,0
bbh,LESS (DG),10000,0.32850734553771255,7.091602025621956,1
bbh,LESS (DG),10000,0.32849236568551005,7.163681901063335,2
bbh,LESS (KNN-KDE),500,0.3348812604851929,6.050748052034597,0
bbh,LESS (KNN-KDE),500,0.3354455265733931,6.217722605366327,1
bbh,LESS (KNN-KDE),500,0.33527815824857465,6.106946851961478,2
bbh,LESS (KNN-KDE),1000,0.3389778266902323,6.607004311296764,0
bbh,LESS (KNN-KDE),1000,0.33696925005427114,6.6686136289925235,1
bbh,LESS (KNN-KDE),1000,0.3356779010299547,6.7980654922302115,2
bbh,LESS (KNN-KDE),2500,0.3212648485269811,7.3623786653961165,0
bbh,LESS (KNN-KDE),2500,0.3213035127171028,7.200792031177561,1
bbh,LESS (KNN-KDE),2500,0.32284035933790384,7.2523574514829185,2
bbh,LESS (KNN-KDE),5000,0.3098722904644631,7.182220189239257,0
bbh,LESS (KNN-KDE),5000,0.3108442518170233,7.19241737867167,1
bbh,LESS (KNN-KDE),5000,0.3086347037719356,7.272043645665716,2
bbh,LESS (KNN-KDE),10000,0.311591999306355,7.091686738267909,0
bbh,LESS (KNN-KDE),10000,0.3126085103937873,7.305401537874624,1
bbh,LESS (KNN-KDE),10000,0.3136119505873433,7.1128705063643975,2
bbh,LESS (KNN-Unif.),500,0.3358988952765494,6.211449303727347,0
bbh,LESS (KNN-Unif.),500,0.3369878771036495,6.297550600943817,1
bbh,LESS (KNN-Unif.),500,0.3364733922076814,6.157663261674366,2
bbh,LESS (KNN-Unif.),1000,0.33928874521343794,6.947365148141443,0
bbh,LESS (KNN-Unif.),1000,0.33900198354213323,6.745691698032523,1
bbh,LESS (KNN-Unif.),1000,0.3395865680074986,6.8847266215733205,2
