dataset,method,num_samples,seed,true_metric
bbh,Random,500,0,64.16939908551421
bbh,Random,500,1,64.55436452487038
bbh,Random,500,2,64.4476752483199
bbh,Random,1000,0,64.22888024891846
bbh,Random,1000,1,64.65243788950477
bbh,Random,1000,2,64.37480364888309
bbh,Random,2500,0,65.17855538731057
bbh,Random,2500,1,65.2724513862958
bbh,Random,2500,2,64.52498884489034
bbh,Random,5000,0,64.95431213998154
bbh,Random,5000,1,65.28919985709997
bbh,Random,5000,2,64.87528880355613
bbh,Random,10000,0,65.09943706059559
bbh,Random,10000,1,65.09650960375909
bbh,Random,10000,2,65.22940395757715
bbh,EMBED (RR),500,0,63.80394032280786
bbh,EMBED (RR),500,1,63.890554236940346
bbh,EMBED (RR),500,2,63.875010130824116
bbh,EMBED (RR),1000,0,63.84673353361163
bbh,EMBED (RR),1000,1,64.01003208422017
bbh,EMBED (RR),1000,2,63.62433684141984
bbh,EMBED (RR),2500,0,64.24762889330246
bbh,EMBED (RR),2500,1,63.86637258697304
bbh,EMBED (RR),2500,2,63.75391765591767
bbh,EMBED (RR),5000,0,64.52992892525346
bbh,EMBED (RR),5000,1,64.49252101759231
bbh,EMBED (RR),5000,2,64.29304817711777
bbh,EMBED (RR),10000,0,64.35831812680854
bbh,EMBED (RR),10000,1,64.30892520042083
bbh,EMBED (RR),10000,2,64.45044920865253
bbh,RDS+ (RR),500,0,61.01145649348712
bbh,RDS+ (RR),500,1,61.43792340984165
bbh,RDS+ (RR),500,2,61.707285337569
bbh,RDS+ (RR),1000,0,62.96721121161
bbh,RDS+ (RR),1000,1,63.00760520426068
bbh,RDS+ (RR),1000,2,63.05728844243453
bbh,RDS+ (RR),2500,0,63.02742166631563
bbh,RDS+ (RR),2500,1,62.64877325192947
bbh,RDS+ (RR),2500,2,62.6724103721958
bbh,RDS+ (RR),5000,0,63.0235988497883
bbh,RDS+ (RR),5000,1,63.34628258275915
bbh,RDS+ (RR),5000,2,63.3750244738701
bbh,RDS+ (RR),10000,0,63.390148293682046
bbh,RDS+ (RR),10000,1,63.2747924884386
bbh,RDS+ (RR),10000,2,63.50669817198261
bbh,LESS (DG),500,0,63.82221617405999
bbh,LESS (DG),500,1,63.73784303086333
bbh,LESS (DG),500,2,64.12124460569628
bbh,LESS (DG),1000,0,63.85886631772064
bbh,LESS (DG),1000,1,64.17394051150809
bbh,LESS (DG),1000,2,64.22760096505988
bbh,LESS (DG),2500,0,64.36485834847431
bbh,LESS (DG),2500,1,64.33449942754328
bbh,LESS (DG),2500,2,64.93870457693761
bbh,LESS (DG),5000,0,65.28832052016146
bbh,LESS (DG),5000,1,64.78674657435171
bbh,LESS (DG),5000,2,65.59835913115344
bbh,LESS (DG),10000,0,65.27010506517428
bbh,LESS (DG),10000,1,65.62145961115623
bbh,LESS (DG),10000,2,65.45859430894151
bbh,LESS (UOT),500,0,64.16266177423996
bbh,LESS (UOT),500,1,64.1362556443544
bbh,LESS (UOT),500,2,64.15971829465114
