dataset,method,bin,dev,test
bbh,EMBED (RR),0,0.3269635396147216,6.633718201942368
bbh,EMBED (RR),1,0.3248528362148338,6.7134052569498905
bbh,EMBED (RR),2,0.3277271500800127,6.6590484795601865
bbh,EMBED (RR),3,0.3231639126200735,6.401253679924307
bbh,EMBED (RR),4,0.3250150577981531,6.671234000124629
bbh,EMBED (RR),5,0.32278048743804294,6.505677255575713
bbh,EMBED (RR),6,0.3260716785803253,6.55101514278222
bbh,EMBED (RR),7,0.3271495825438588,6.613525930554649
bbh,EMBED (RR),8,0.32471173017481225,6.386024963936302
bbh,EMBED (RR),9,0.3252648756735855,6.4174506709773755
bbh,LESS (RR),0,0.31631502725275945,6.718727714444906
bbh,LESS (RR),1,0.3217228946770415,6.442395696157026
bbh,LESS (RR),2,0.3245309549441308,6.554382375007656
bbh,LESS (RR),3,0.3212338130875134,6.725284997594098
bbh,LESS (RR),4,0.3268370573167448,6.589476330436662
bbh,LESS (RR),5,0.3229687632417973,6.617484931534949
bbh,LESS (RR),6,0.33066668536192106,6.558526155842814
bbh,LESS (RR),7,0.3305934337830102,6.773913191515003
bbh,LESS (RR),8,0.3319067251811057,6.4243895277378655
bbh,LESS (RR),9,0.33766322794519826,7.031540604665557
bbh,RDS+ (RR),0,0.32807586521462156,6.452157991737324
bbh,RDS+ (RR),1,0.3380830244241673,6.513746604000692
bbh,RDS+ (RR),2,0.3256306906265241,6.391093256918081
bbh,RDS+ (RR),3,0.3330262799137904,6.621914127733168
bbh,RDS+ (RR),4,0.3302214159917684,6.7956385672266375
bbh,RDS+ (RR),5,0.3308685829426036,6.879046866438243
bbh,RDS+ (RR),6,0.32761132114647346,6.958957388999367
bbh,RDS+ (RR),7,0.3217327941071104,6.3868535258421755
bbh,RDS+ (RR),8,0.3205233195129736,6.454003704370505
bbh,RDS+ (RR),9,0.3242901668964345,6.546011258738873
codex,EMBED (RR),0,0.8863180577754974,0.9235623770871678
codex,EMBED (RR),1,0.8651516661047935,0.8927606037138281
codex,EMBED (RR),2,0.8566754087805748,0.8880803830720283
codex,EMBED (RR),3,0.8610176593065262,0.8881242251073992
codex,EMBED (RR),4,0.8650760129094124,0.8942649607118722
codex,EMBED (RR),5,0.8610845059156418,0.8907073461324782
codex,EMBED (RR),6,0.8598623834550381,0.8837130687929489
codex,EMBED (RR),7,0.8628684543073177,0.8911575908596451
codex,EMBED (RR),8,0.8468431755900383,0.87663683325455
codex,EMBED (RR),9,0.8614271730184555,0.8862956149151197
codex,LESS (RR),0,0.7679523527622223,0.817321705153665
codex,LESS (RR),1,0.8583677634596825,0.8863661131141959
codex,LESS (RR),2,0.8525775894522667,0.8851751134403654
codex,LESS (RR),3,0.8508236445486546,0.8874858901710123
codex,LESS (RR),4,0.8591855652630329,0.890254533572777
codex,LESS (RR),5,0.8577934876084328,0.8872029545742113
codex,LESS (RR),6,0.8730121403932571,0.8958156501521936
codex,LESS (RR),7,0.8624084182083607,0.8894150814897305
codex,LESS (RR),8,0.885680764913559,0.9087266101426369
codex,LESS (RR),9,0.8853646479547024,0.9109432700316649
codex,RDS+ (RR),0,0.8778175488114357,0.911698605261139
codex,RDS+ (RR),1,0.8565207459032536,0.8821640219035987
codex,RDS+ (RR),2,0.8673788905143738,0.8935874450851131
codex,RDS+ (RR),3,0.8684030696749687,0.8983779549598694
codex,RDS+ (RR),4,0.8695157654583454,0.8962354519077249
