dataset,method,bin,true_metric
bbh,EMBED (RR),0,70.4364149603853
bbh,EMBED (RR),1,70.44478010525326
bbh,EMBED (RR),2,70.58611935188453
bbh,EMBED (RR),3,70.08671431850276
bbh,EMBED (RR),4,70.38728081242184
bbh,EMBED (RR),5,70.04494962450943
bbh,EMBED (RR),6,70.681801119538
bbh,EMBED (RR),7,70.31650131619168
bbh,EMBED (RR),8,69.37484811384984
bbh,EMBED (RR),9,70.14708868328188
bbh,RDS+ (RR),0,70.34434517715307
bbh,RDS+ (RR),1,70.48914011930427
bbh,RDS+ (RR),2,70.40452904921031
bbh,RDS+ (RR),3,70.27854074551463
bbh,RDS+ (RR),4,70.6287088396116
bbh,RDS+ (RR),5,70.58726866122497
bbh,RDS+ (RR),6,71.1653633334373
bbh,RDS+ (RR),7,70.73795629367523
bbh,RDS+ (RR),8,70.56515358048917
bbh,RDS+ (RR),9,69.7318014655392
bbh,LESS (RR),0,70.57078659001718
bbh,LESS (RR),1,69.93098321381963
bbh,LESS (RR),2,70.0529973628001
bbh,LESS (RR),3,70.70600908388849
bbh,LESS (RR),4,70.82053793708222
bbh,LESS (RR),5,70.74652464947714
bbh,LESS (RR),6,70.32699087803616
bbh,LESS (RR),7,70.2686988369756
bbh,LESS (RR),8,70.4656140120798
bbh,LESS (RR),9,70.57190958497445
codex,EMBED (RR),0,91.8918918918919
codex,EMBED (RR),1,92.56756756756756
codex,EMBED (RR),2,92.56756756756756
codex,EMBED (RR),3,92.56756756756756
codex,EMBED (RR),4,89.86486486486487
codex,EMBED (RR),5,92.56756756756756
codex,EMBED (RR),6,90.54054054054053
codex,EMBED (RR),7,93.24324324324324
codex,EMBED (RR),8,91.21621621621621
codex,EMBED (RR),9,93.24324324324324
codex,RDS+ (RR),0,90.54054054054053
codex,RDS+ (RR),1,92.56756756756756
codex,RDS+ (RR),2,89.86486486486487
codex,RDS+ (RR),3,90.54054054054053
codex,RDS+ (RR),4,89.86486486486487
codex,RDS+ (RR),5,90.54054054054053
codex,RDS+ (RR),6,89.1891891891892
codex,RDS+ (RR),7,89.86486486486487
codex,RDS+ (RR),8,91.8918918918919
codex,RDS+ (RR),9,91.8918918918919
codex,LESS (RR),0,90.54054054054053
codex,LESS (RR),1,92.56756756756756
