dataset,method,num_samples,dev,test,seed
bbh,EMBED (RR),500,0.3265524616028056,6.625297456920248,0
bbh,EMBED (RR),500,0.3234436772763729,6.590513729743375,1
bbh,EMBED (RR),500,0.3244529063410965,6.537544077441653,2
bbh,EMBED (RR),1000,0.34021116990917993,6.9202903679687475,0
bbh,EMBED (RR),1000,0.3391084847626863,7.128999141985106,1
bbh,EMBED (RR),1000,0.3372841401968473,7.019125283084841,2
bbh,EMBED (RR),2500,0.3580359637645292,7.929622456575571,0
bbh,EMBED (RR),2500,0.3616569048644584,8.127152893129828,1
bbh,EMBED (RR),2500,0.35794562096765015,7.9196172492457615,2
bbh,EMBED (RR),5000,0.36986743566798574,8.955118079162416,0
bbh,EMBED (RR),5000,0.3697733034230309,9.048863518450451,1
bbh,EMBED (RR),5000,0.36444989196312283,8.548778647569774,2
bbh,EMBED (RR),10000,0.3689366693114057,8.974020130732077,0
bbh,EMBED (RR),10000,0.36942530014080766,9.26273428552474,1
bbh,EMBED (RR),10000,0.3720375550105984,9.142976340034044,2
bbh,LESS (DG),500,0.3169405750102467,6.684098770268372,0
bbh,LESS (DG),500,0.31774624814221886,6.673088407510987,1
bbh,LESS (DG),500,0.31722212536835376,6.676885723802209,2
bbh,LESS (DG),1000,0.3262629019625393,7.722034226207575,0
bbh,LESS (DG),1000,0.32481603752131816,7.531137793308725,1
bbh,LESS (DG),1000,0.32340395395402555,7.37335336073773,2
bbh,LESS (DG),2500,0.3321073905645329,8.036910020193734,0
bbh,LESS (DG),2500,0.3313512279203645,7.829128984911726,1
bbh,LESS (DG),2500,0.33137827716123913,8.157604090996445,2
bbh,LESS (DG),5000,0.3317696354179471,7.908284630895924,0
bbh,LESS (DG),5000,0.33038754232319784,8.026726791320758,1
bbh,LESS (DG),5000,0.3304074879873682,7.8737185529768325,2
bbh,LESS (DG),10000,0.33086117076469057,7.4424341111263,0
bbh,LESS (DG),10000,0.3321708900693022,7.807549988101144,1
bbh,LESS (DG),10000,0.3337890231223018,8.036559087269648,2
bbh,LESS (KNN-KDE),500,0.31328979695652737,6.490831226316433,0
bbh,LESS (KNN-KDE),500,0.3154185517334644,6.556572439574991,1
bbh,LESS (KNN-KDE),500,0.31505846986432134,6.472416054440834,2
bbh,LESS (KNN-KDE),1000,0.32513951560781323,7.561849481250958,0
bbh,LESS (KNN-KDE),1000,0.32330645128716656,7.4660716160085965,1
bbh,LESS (KNN-KDE),1000,0.31996476337497615,7.369525611208361,2
bbh,LESS (KNN-KDE),2500,0.3298528326422344,8.205635577005426,0
bbh,LESS (KNN-KDE),2500,0.3292497900993,7.732933702858485,1
bbh,LESS (KNN-KDE),2500,0.330457268351758,7.928925416350932,2
bbh,LESS (KNN-KDE),5000,0.32748575586779616,7.91276291157862,0
bbh,LESS (KNN-KDE),5000,0.33101759174907647,7.9239352751741245,1
bbh,LESS (KNN-KDE),5000,0.3247582421718556,7.73764168455421,2
bbh,LESS (KNN-KDE),10000,0.32497587574668874,7.551871514287417,0
bbh,LESS (KNN-KDE),10000,0.32465207043253347,7.5405505474509775,1
bbh,LESS (KNN-KDE),10000,0.32386616576049065,7.305157145163446,2
bbh,LESS (KNN-Unif.),500,0.31159279697839126,6.334327703667683,0
bbh,LESS (KNN-Unif.),500,0.31237497507238093,6.4128934700649065,1
bbh,LESS (KNN-Unif.),500,0.3148896155166037,6.471671629677059,2
bbh,LESS (KNN-Unif.),1000,0.32190619225119366,7.309378791937464,0
bbh,LESS (KNN-Unif.),1000,0.31826285024483997,7.3643519572994895,1
bbh,LESS (KNN-Unif.),1000,0.3225984284079369,7.173952815783882,2
bbh,LESS (KNN-Unif.),2500,0.32708564225906206,7.911244877983835,0
bbh,LESS (KNN-Unif.),2500,0.3289806573755211,7.732523139638847,1
bbh,LESS (KNN-Unif.),2500,0.3221629430758364,7.563153251325859,2
bbh,LESS (KNN-Unif.),5000,0.32918803242069705,7.680618748469317,0
bbh,LESS (KNN-Unif.),5000,0.32517204654437526,7.825413751503305,1
bbh,LESS (KNN-Unif.),5000,0.3349743414624238,8.259829175113405,2
bbh,LESS (KNN-Unif.),10000,0.32578674032364363,7.597101247176983,0
bbh,LESS (KNN-Unif.),10000,0.3262292082295006,7.61141619996676,1
bbh,LESS (KNN-Unif.),10000,0.325162519229415,7.471582025632827,2
bbh,LESS (RR),500,0.31602555278826644,6.700829508355494,0
bbh,LESS (RR),500,0.31596822457181084,6.749953980618698,1
bbh,LESS (RR),500,0.31737799758528484,6.897645002593461,2
bbh,LESS (RR),1000,0.32603577906150877,7.482087038854468,0
bbh,LESS (RR),1000,0.32384231387649054,7.226432546266047,1
bbh,LESS (RR),1000,0.3236038059824043,7.438263563493891,2
bbh,LESS (RR),2500,0.3338558844946049,8.048454635164518,0
bbh,LESS (RR),2500,0.3301860819812174,7.759025378118113,1
bbh,LESS (RR),2500,0.32888588511649475,7.693567804432633,2
bbh,LESS (RR),5000,0.3347100837639085,7.781712124706908,0
bbh,LESS (RR),5000,0.3303124017921495,7.755276266385326,1
bbh,LESS (RR),5000,0.330610977784719,7.838687058610862,2
bbh,LESS (RR),10000,0.3310596101261951,7.534586237791844,0
bbh,LESS (RR),10000,0.3302937227266806,7.758616484780591,1
bbh,LESS (RR),10000,0.3305168935086256,7.861540127461488,2
bbh,LESS (UOT),500,0.31597190520461693,6.6281968676591685,0
bbh,LESS (UOT),500,0.31416828337090985,6.579718951118137,1
bbh,LESS (UOT),500,0.3157708217148428,6.731285757805011,2
bbh,LESS (UOT),1000,0.32085269574581843,7.380362884347623,0
bbh,LESS (UOT),1000,0.32117146465145513,7.407474293171984,1
bbh,LESS (UOT),1000,0.32096420752781407,7.387280833975654,2
bbh,LESS (UOT),2500,0.3288163574481452,7.7329908233233775,0
bbh,LESS (UOT),2500,0.33173377637142015,8.067362413558703,1
bbh,LESS (UOT),2500,0.3229942032492455,7.550708974420228,2
bbh,LESS (UOT),5000,0.3245283137133092,7.65455632886475,0
bbh,LESS (UOT),5000,0.32930018964373037,7.9241331405874735,1
bbh,LESS (UOT),5000,0.3303140514058831,7.965685197018456,2
bbh,LESS (UOT),10000,0.32703348019240813,7.9062675704349665,0
bbh,LESS (UOT),10000,0.32548087361602135,7.4964434200489585,1
bbh,LESS (UOT),10000,0.32632890812776705,7.640975276430783,2
bbh,RDS+ (RR),500,0.3285297521930418,6.449032686764039,0
bbh,RDS+ (RR),500,0.3268862141779176,6.411969413141779,1
bbh,RDS+ (RR),500,0.32892902108070293,6.397636375693091,2
bbh,RDS+ (RR),1000,0.3498305718839904,7.537133226305306,0
bbh,RDS+ (RR),1000,0.3478683185890133,7.352283144112539,1
bbh,RDS+ (RR),1000,0.3488581575637246,7.43385433945636,2
bbh,RDS+ (RR),2500,0.35480569050083927,7.787152305339233,0
bbh,RDS+ (RR),2500,0.3598349249381342,8.058425307813977,1
bbh,RDS+ (RR),2500,0.3568694834815867,7.789078149455353,2
bbh,RDS+ (RR),5000,0.35959945655899284,7.941223019783516,0
bbh,RDS+ (RR),5000,0.3701644589503606,8.738306176111347,1
bbh,RDS+ (RR),5000,0.35953764198922816,7.9026337818256485,2
bbh,RDS+ (RR),10000,0.3721537028933749,8.858091148092823,0
bbh,RDS+ (RR),10000,0.3719372970086557,9.092073892635275,1
bbh,RDS+ (RR),10000,0.3714703434595355,8.96205157891083,2
bbh,Random,500,0.3303194012906816,6.61798855865117,0
bbh,Random,500,0.32313270839276137,6.470505828737315,1
bbh,Random,500,0.32460110662160097,6.587870389886796,2
bbh,Random,1000,0.33839916235502854,7.083562105807122,0
bbh,Random,1000,0.33331199896372393,7.100712484752065,1
bbh,Random,1000,0.33050923210419253,7.010721688775162,2
bbh,Random,2500,0.3518514927522636,7.719641023801962,0
bbh,Random,2500,0.34996481409963265,7.51928111899377,1
bbh,Random,2500,0.35337091310892577,7.919084669303792,2
bbh,Random,5000,0.3614711341574604,8.267001480884842,0
bbh,Random,5000,0.36025224451297594,8.091829848891853,1
bbh,Random,5000,0.3627822962991985,8.624335340092468,2
bbh,Random,10000,0.36808034828231656,8.427791718970868,0
bbh,Random,10000,0.36761756898996273,8.72057287395687,1
bbh,Random,10000,0.36890806335909865,8.763856975260719,2
codex,EMBED (RR),500,0.8900479003787041,0.9227312826425642,0
codex,EMBED (RR),500,0.891821913421154,0.9215305333806051,1
codex,EMBED (RR),500,0.885796420276165,0.9217768297404856,2
codex,EMBED (RR),1000,0.8821218982338905,0.9159897370515643,0
codex,EMBED (RR),1000,0.8827648125588894,0.9136481766362448,1
codex,EMBED (RR),1000,0.8751026578247547,0.9083323654894894,2
codex,EMBED (RR),2500,0.893181923776865,0.9165021456979416,0
codex,EMBED (RR),2500,0.8921076655387878,0.9159116686598675,1
codex,EMBED (RR),2500,0.8899109028279781,0.9127670346281013,2
codex,EMBED (RR),5000,0.928852304816246,0.9460100974585559,0
codex,EMBED (RR),5000,0.9103824719786644,0.9314717960518759,1
codex,EMBED (RR),5000,0.9130738414824009,0.9336679668442623,2
codex,EMBED (RR),10000,0.9316458106040955,0.9482281670175694,0
codex,EMBED (RR),10000,0.9269220344722271,0.9457478512179207,1
codex,EMBED (RR),10000,0.9250023327767849,0.9450415963860782,2
codex,LESS (DG),500,0.768162440508604,0.8127178531643506,0
codex,LESS (DG),500,0.7502860892564058,0.7983402651105378,1
codex,LESS (DG),500,0.7588918376713991,0.8026349381417841,2
codex,LESS (DG),1000,0.7576098144054413,0.8131915967206698,0
codex,LESS (DG),1000,0.7701073661446571,0.822128664299443,1
codex,LESS (DG),1000,0.7661146279424429,0.8149560390896088,2
codex,LESS (DG),2500,0.7817993760108948,0.8348365979822906,0
codex,LESS (DG),2500,0.796822477132082,0.8460193007580332,1
codex,LESS (DG),2500,0.7945609577000141,0.8507144525647163,2
codex,LESS (DG),5000,0.7950088568031788,0.8419382131180247,0
codex,LESS (DG),5000,0.7976699005812407,0.8417771336798733,1
codex,LESS (DG),5000,0.8017151970416307,0.8449765365268733,2
codex,LESS (DG),10000,0.7969946339726448,0.8444632765006375,0
codex,LESS (DG),10000,0.7924311254173517,0.840565032954957,1
codex,LESS (DG),10000,0.7883195802569389,0.8427772502842787,2
codex,LESS (KNN-KDE),500,0.7475951220840216,0.7885164290263846,0
codex,LESS (KNN-KDE),500,0.7407058905810118,0.7840015183429461,1
codex,LESS (KNN-KDE),500,0.7534908819943666,0.7937468333622894,2
codex,LESS (KNN-KDE),1000,0.754425847902894,0.807110348968087,0
codex,LESS (KNN-KDE),1000,0.7642751764506102,0.8045405298471451,1
codex,LESS (KNN-KDE),1000,0.7664164435118437,0.8140266030221373,2
codex,LESS (KNN-KDE),2500,0.7772429566830397,0.8290805587091962,0
codex,LESS (KNN-KDE),2500,0.7801248654723167,0.8331428166176822,1
codex,LESS (KNN-KDE),2500,0.7831651512533426,0.831250107872325,2
codex,LESS (KNN-KDE),5000,0.7778372671455145,0.8253430982900632,0
codex,LESS (KNN-KDE),5000,0.7771056853234768,0.8320955477050833,1
codex,LESS (KNN-KDE),5000,0.7860896103084087,0.8308988273949236,2
codex,LESS (KNN-KDE),10000,0.7869982570409775,0.8372643416797793,0
codex,LESS (KNN-KDE),10000,0.7804679702967405,0.8351482434852703,1
codex,LESS (KNN-KDE),10000,0.7829630486667156,0.8342276003111053,2
codex,LESS (KNN-Unif.),500,0.750099616125226,0.7914775179044621,0
codex,LESS (KNN-Unif.),500,0.7502203639596701,0.7888695717462011,1
