dataset,method,num_samples,seed,true_metric
bbh,Random,500,0,70.17683988584947
bbh,Random,500,1,70.52436588418264
bbh,Random,500,2,70.67431315329259
bbh,Random,1000,0,70.48648212272688
bbh,Random,1000,1,70.9467609850737
bbh,Random,1000,2,71.03837411986513
bbh,Random,2500,0,70.39875310307457
bbh,Random,2500,1,71.27394228266849
bbh,Random,2500,2,70.92248245476611
bbh,Random,5000,0,69.77761178255165
bbh,Random,5000,1,70.9618905360071
bbh,Random,5000,2,70.28201819490832
bbh,Random,10000,0,69.53973177071258
bbh,Random,10000,1,70.05945276386838
bbh,Random,10000,2,69.84911216850303
bbh,EMBED (RR),500,0,70.42157356292206
bbh,EMBED (RR),500,1,70.55064510021278
bbh,EMBED (RR),500,2,70.37968678384799
bbh,EMBED (RR),1000,0,69.3811016818921
bbh,EMBED (RR),1000,1,69.56178873543811
bbh,EMBED (RR),1000,2,70.41287550086723
bbh,EMBED (RR),2500,0,70.09923903815563
bbh,EMBED (RR),2500,1,69.61970069340168
bbh,EMBED (RR),2500,2,69.8893534450579
bbh,EMBED (RR),5000,0,69.6173809549286
bbh,EMBED (RR),5000,1,69.714188387998
bbh,EMBED (RR),5000,2,69.65216011911953
bbh,EMBED (RR),10000,0,69.75227053161305
bbh,EMBED (RR),10000,1,69.8980194616081
bbh,EMBED (RR),10000,2,69.26774109951504
bbh,RDS+ (RR),500,0,70.21718938304872
bbh,RDS+ (RR),500,1,70.12461716337351
bbh,RDS+ (RR),500,2,70.59012503996162
bbh,RDS+ (RR),1000,0,70.61804786846027
bbh,RDS+ (RR),1000,1,70.78776950636721
bbh,RDS+ (RR),1000,2,70.35281587220673
bbh,RDS+ (RR),2500,0,70.1950610719581
bbh,RDS+ (RR),2500,1,70.42666804213582
bbh,RDS+ (RR),2500,2,70.61505962515479
bbh,RDS+ (RR),5000,0,70.92939690646868
bbh,RDS+ (RR),5000,1,69.7256212558515
bbh,RDS+ (RR),5000,2,70.73201427915006
bbh,RDS+ (RR),10000,0,70.02517525571244
bbh,RDS+ (RR),10000,1,70.44985856171473
bbh,RDS+ (RR),10000,2,70.12285224623227
bbh,LESS (DG),500,0,70.22949102794459
bbh,LESS (DG),500,1,70.27782747696556
bbh,LESS (DG),500,2,70.40345361036721
bbh,LESS (DG),1000,0,70.59196103520271
bbh,LESS (DG),1000,1,70.86279183716371
bbh,LESS (DG),1000,2,70.86606061276724
bbh,LESS (DG),2500,0,71.52248059520011
bbh,LESS (DG),2500,1,71.47360828632365
bbh,LESS (DG),2500,2,71.20691503700859
bbh,LESS (DG),5000,0,71.34093505624257
bbh,LESS (DG),5000,1,72.2120105953803
bbh,LESS (DG),5000,2,71.67192887873384
bbh,LESS (DG),10000,0,71.26038283952253
bbh,LESS (DG),10000,1,71.84085014723952
bbh,LESS (DG),10000,2,72.0366054531072
bbh,LESS (UOT),500,0,70.85395135064392
bbh,LESS (UOT),500,1,70.78399880646347
bbh,LESS (UOT),500,2,70.76239111288412
bbh,LESS (UOT),1000,0,70.60017613443358
bbh,LESS (UOT),1000,1,70.63732793412917
bbh,LESS (UOT),1000,2,70.56177658424126
bbh,LESS (UOT),2500,0,71.20847049995163
bbh,LESS (UOT),2500,1,71.09548759847813
bbh,LESS (UOT),2500,2,71.66090267662577
bbh,LESS (UOT),5000,0,71.6323721297637
bbh,LESS (UOT),5000,1,71.31149807765077
bbh,LESS (UOT),5000,2,71.38682968170967
bbh,LESS (UOT),10000,0,71.34614537727285
bbh,LESS (UOT),10000,1,71.45382056523309
bbh,LESS (UOT),10000,2,71.41943510469798
bbh,LESS (RR),500,0,70.25152167828695
bbh,LESS (RR),500,1,70.22538767911927
bbh,LESS (RR),500,2,70.21303286892653
bbh,LESS (RR),1000,0,70.58709419125539
