dataset,method,bin,dev,test
bbh,EMBED (RR),0,0.345800549113824,6.730981426824166
bbh,EMBED (RR),1,0.3429037907425268,6.645641573442876
bbh,EMBED (RR),2,0.3423457687007792,6.47636298025795
bbh,EMBED (RR),3,0.3458235045366081,6.047373189297786
bbh,EMBED (RR),4,0.3477890042151198,6.081249151091077
bbh,EMBED (RR),5,0.3482944811751813,6.176674936035961
bbh,EMBED (RR),6,0.3485006907563887,5.749190919328956
bbh,EMBED (RR),7,0.34802607428512455,6.198523562371209
bbh,EMBED (RR),8,0.35327768403990767,5.9325980445222175
bbh,EMBED (RR),9,0.34893839180837444,6.0847554989370805
bbh,LESS (RR),0,0.3234274168441325,6.2424404501017845
bbh,LESS (RR),1,0.34220896665880707,6.093342669995914
bbh,LESS (RR),2,0.3446428228951531,6.421019322860078
bbh,LESS (RR),3,0.34880129781402186,6.265396987388548
bbh,LESS (RR),4,0.3462798946341615,6.116587958015836
bbh,LESS (RR),5,0.34783904084268913,6.070555191639839
bbh,LESS (RR),6,0.3496281986159307,6.323384487643584
bbh,LESS (RR),7,0.34786246441028734,6.11314679483832
bbh,LESS (RR),8,0.3469237644731263,6.421840847572997
bbh,LESS (RR),9,0.3455091424194383,6.120100431738132
bbh,RDS+ (RR),0,0.3424155121140274,7.071540748628122
bbh,RDS+ (RR),1,0.3444565633012925,6.88109663247403
bbh,RDS+ (RR),2,0.3431362241598559,6.482011956290484
bbh,RDS+ (RR),3,0.3452938813946129,6.208208666439522
bbh,RDS+ (RR),4,0.34818208249814714,5.708707731397374
bbh,RDS+ (RR),5,0.35205609126039494,5.838387441395285
bbh,RDS+ (RR),6,0.3513433150027269,5.916949839411454
bbh,RDS+ (RR),7,0.35467557089380275,5.993599895351842
bbh,RDS+ (RR),8,0.3510394706218331,5.712493342429404
bbh,RDS+ (RR),9,0.34932780265808105,5.753336932065574
codex,EMBED (RR),0,0.6144228130578995,0.690174993228268
codex,EMBED (RR),1,0.6655009314417839,0.7353925719051748
codex,EMBED (RR),2,0.6529129706323147,0.7248960136360413
codex,EMBED (RR),3,0.6583132483065128,0.7333763912823554
