dataset,method,bin,true_metric
bbh,EMBED (RR),0,60.27628875621344
bbh,EMBED (RR),1,59.76015049437172
bbh,EMBED (RR),2,60.412900644638356
bbh,EMBED (RR),3,59.356684117016954
bbh,EMBED (RR),4,59.37928483103542
bbh,EMBED (RR),5,60.31297004303189
bbh,EMBED (RR),6,59.808473591099066
bbh,EMBED (RR),7,59.739015081781446
bbh,EMBED (RR),8,59.84540831542434
bbh,EMBED (RR),9,59.84893893011486
bbh,RDS+ (RR),0,60.50520619645193
bbh,RDS+ (RR),1,60.24400595878111
bbh,RDS+ (RR),2,59.87204781169778
bbh,RDS+ (RR),3,60.32540955188329
bbh,RDS+ (RR),4,59.29916535056646
bbh,RDS+ (RR),5,59.15827564334658
bbh,RDS+ (RR),6,59.45515307535788
bbh,RDS+ (RR),7,59.049548538528974
bbh,RDS+ (RR),8,58.66583984874961
bbh,RDS+ (RR),9,59.13577637017777
bbh,LESS (RR),0,59.4808834694429
bbh,LESS (RR),1,59.5614828520731
bbh,LESS (RR),2,60.075499757600994
bbh,LESS (RR),3,59.54483204201717
bbh,LESS (RR),4,60.14062155170541
bbh,LESS (RR),5,60.317749786127074
bbh,LESS (RR),6,60.26013120061232
bbh,LESS (RR),7,60.07826036564005
bbh,LESS (RR),8,60.40495818826813
bbh,LESS (RR),9,60.4791009382486
codex,EMBED (RR),0,77.02702702702703
codex,EMBED (RR),1,77.7027027027027
codex,EMBED (RR),2,78.37837837837837
codex,EMBED (RR),3,77.7027027027027
codex,EMBED (RR),4,77.7027027027027
codex,EMBED (RR),5,79.05405405405406
codex,EMBED (RR),6,80.4054054054054
codex,EMBED (RR),7,79.05405405405406
codex,EMBED (RR),8,81.08108108108108
codex,EMBED (RR),9,77.7027027027027
codex,RDS+ (RR),0,77.7027027027027
codex,RDS+ (RR),1,77.7027027027027
codex,RDS+ (RR),2,81.08108108108108
codex,RDS+ (RR),3,78.37837837837837
codex,RDS+ (RR),4,75.67567567567568
codex,RDS+ (RR),5,79.05405405405406
codex,RDS+ (RR),6,76.35135135135135
codex,RDS+ (RR),7,77.7027027027027
codex,RDS+ (RR),8,80.4054054054054
codex,RDS+ (RR),9,75.0
codex,LESS (RR),0,71.62162162162163
codex,LESS (RR),1,78.37837837837837
codex,LESS (RR),2,76.35135135135135
codex,LESS (RR),3,81.08108108108108
codex,LESS (RR),4,79.72972972972973
codex,LESS (RR),5,77.7027027027027
codex,LESS (RR),6,79.72972972972973
codex,LESS (RR),7,81.08108108108108
codex,LESS (RR),8,79.72972972972973
codex,LESS (RR),9,81.08108108108108
gsm8k,EMBED (RR),0,69.0674753601213
gsm8k,EMBED (RR),1,69.74981046247157
gsm8k,EMBED (RR),2,68.99166034874905
gsm8k,EMBED (RR),3,70.20470053070508
gsm8k,EMBED (RR),4,69.97725549658831
gsm8k,EMBED (RR),5,71.03866565579985
gsm8k,EMBED (RR),6,70.05307050796058
gsm8k,EMBED (RR),7,71.64518574677786
gsm8k,EMBED (RR),8,70.28051554207732
gsm8k,EMBED (RR),9,72.25170583775588
gsm8k,RDS+ (RR),0,65.27672479150873
gsm8k,RDS+ (RR),1,71.56937073540561
gsm8k,RDS+ (RR),2,70.35633055344958
gsm8k,RDS+ (RR),3,72.85822592873389
gsm8k,RDS+ (RR),4,70.81122062168309
gsm8k,RDS+ (RR),5,70.9628506444276
gsm8k,RDS+ (RR),6,70.65959059893859
gsm8k,RDS+ (RR),7,71.79681576952237
gsm8k,RDS+ (RR),8,69.97725549658831
gsm8k,RDS+ (RR),9,71.64518574677786
gsm8k,LESS (RR),0,66.94465504169825
gsm8k,LESS (RR),1,71.49355572403337
gsm8k,LESS (RR),2,71.87263078089462
gsm8k,LESS (RR),3,71.56937073540561
gsm8k,LESS (RR),4,70.65959059893859
gsm8k,LESS (RR),5,69.44655041698256
gsm8k,LESS (RR),6,71.2661106899166
gsm8k,LESS (RR),7,70.28051554207732
gsm8k,LESS (RR),8,70.35633055344958
gsm8k,LESS (RR),9,67.70280515542078
tydiqa,EMBED (RR),0,53.29301269881559
tydiqa,EMBED (RR),1,53.96850250087679
tydiqa,EMBED (RR),2,54.354325810804255
tydiqa,EMBED (RR),3,57.08190869900756
tydiqa,EMBED (RR),4,55.932825295143815
tydiqa,EMBED (RR),5,53.47841565774152
tydiqa,EMBED (RR),6,53.87575696068271
tydiqa,EMBED (RR),7,55.198765552827034
tydiqa,EMBED (RR),8,54.79795707148652
tydiqa,EMBED (RR),9,51.03372943570884
tydiqa,RDS+ (RR),0,48.9046752478945
tydiqa,RDS+ (RR),1,55.846404330218775
tydiqa,RDS+ (RR),2,56.89598147053508
tydiqa,RDS+ (RR),3,55.016981035389335
tydiqa,RDS+ (RR),4,51.61970557479136
tydiqa,RDS+ (RR),5,52.8148949490741
tydiqa,RDS+ (RR),6,50.960466872809235
tydiqa,RDS+ (RR),7,50.522435725008414
tydiqa,RDS+ (RR),8,51.92539344518571
tydiqa,RDS+ (RR),9,50.34123619007162
tydiqa,LESS (RR),0,59.84076547390248
tydiqa,LESS (RR),1,56.60743719046803
tydiqa,LESS (RR),2,55.9445251331489
tydiqa,LESS (RR),3,57.61427761733972
tydiqa,LESS (RR),4,55.647153422795746
tydiqa,LESS (RR),5,51.44829638743686
tydiqa,LESS (RR),6,50.087002620543544
tydiqa,LESS (RR),7,52.33731560285682
tydiqa,LESS (RR),8,45.49140187967045
tydiqa,LESS (RR),9,45.833446864305174
mmlu_pro,EMBED (RR),0,26.845079787234045
mmlu_pro,EMBED (RR),1,17.935505319148938
mmlu_pro,EMBED (RR),2,16.505984042553195
mmlu_pro,EMBED (RR),3,19.22373670212766
mmlu_pro,EMBED (RR),4,21.193484042553195
mmlu_pro,EMBED (RR),5,18.7749335106383
mmlu_pro,EMBED (RR),6,18.459109042553195
mmlu_pro,EMBED (RR),7,22.332114361702125
mmlu_pro,EMBED (RR),8,17.53656914893617
mmlu_pro,EMBED (RR),9,14.361702127659576
mmlu_pro,RDS+ (RR),0,3.490691489361702
mmlu_pro,RDS+ (RR),1,10.397273936170212
mmlu_pro,RDS+ (RR),2,16.863364361702125
mmlu_pro,RDS+ (RR),3,21.25997340425532
mmlu_pro,RDS+ (RR),4,16.18184840425532
mmlu_pro,RDS+ (RR),5,10.58843085106383
mmlu_pro,RDS+ (RR),6,13.738364361702127
mmlu_pro,RDS+ (RR),7,23.221409574468087
mmlu_pro,RDS+ (RR),8,7.347074468085106
mmlu_pro,RDS+ (RR),9,7.9205452127659575
mmlu_pro,LESS (RR),0,6.283244680851063
mmlu_pro,LESS (RR),1,7.8789893617021285
mmlu_pro,LESS (RR),2,12.125997340425531
mmlu_pro,LESS (RR),3,26.944813829787233
mmlu_pro,LESS (RR),4,20.88597074468085
mmlu_pro,LESS (RR),5,18.73337765957447
mmlu_pro,LESS (RR),6,6.657247340425531
mmlu_pro,LESS (RR),7,15.982380319148938
mmlu_pro,LESS (RR),8,15.766289893617023
mmlu_pro,LESS (RR),9,13.71343085106383
