dataset,method,num_samples,dev,test,seed
bbh,EMBED (RR),500,0.346194321864549,6.726842062701426,0
bbh,EMBED (RR),500,0.3474237583117721,6.809400627084306,1
bbh,EMBED (RR),500,0.34733552812242213,6.747942368320707,2
bbh,EMBED (RR),1000,0.34321069896773054,6.684266154336922,0
bbh,EMBED (RR),1000,0.34432393758569235,6.738378309238673,1
bbh,EMBED (RR),1000,0.3428111513271744,6.6855115563597405,2
bbh,EMBED (RR),2500,0.34261599813162547,6.672100086665121,0
bbh,EMBED (RR),2500,0.3417767385641734,6.776796319676588,1
bbh,EMBED (RR),2500,0.34197284368637165,6.819067132196527,2
bbh,EMBED (RR),5000,0.3425081879084493,6.934280185651128,0
bbh,EMBED (RR),5000,0.3429189732781163,7.087032600081548,1
bbh,EMBED (RR),5000,0.3421678188038461,6.892258341357082,2
bbh,EMBED (RR),10000,0.34517102118259596,7.398581053443153,0
bbh,EMBED (RR),10000,0.34531213140782013,7.4143802421815455,1
bbh,EMBED (RR),10000,0.3449424236185021,7.713720066465736,2
bbh,LESS (DG),500,0.3148631143073241,5.431520211405513,0
bbh,LESS (DG),500,0.3165704203700578,5.69267256119672,1
bbh,LESS (DG),500,0.3154904763731692,5.539455675232925,2
bbh,LESS (DG),1000,0.3161779011565226,6.092580681855257,0
bbh,LESS (DG),1000,0.31376225296637894,5.965666741283784,1
bbh,LESS (DG),1000,0.3139064443976055,5.906081285450686,2
bbh,LESS (DG),2500,0.30774113853220586,6.141180716705586,0
bbh,LESS (DG),2500,0.30786630801028675,6.080861939664005,1
bbh,LESS (DG),2500,0.3098952582358946,6.385595440031508,2
bbh,LESS (DG),5000,0.30885995988860543,6.5742059301586675,0
bbh,LESS (DG),5000,0.308721945816536,6.395105184689954,1
bbh,LESS (DG),5000,0.3076238381779856,6.49958326936116,2
bbh,LESS (DG),10000,0.31258053790180035,6.799014850276862,0
bbh,LESS (DG),10000,0.3126251715016954,6.746185913006843,1
bbh,LESS (DG),10000,0.31534861826142413,6.949539068958723,2
bbh,LESS (KNN-KDE),500,0.31140647844675884,5.356050566756548,0
bbh,LESS (KNN-KDE),500,0.3110920531836189,5.246367736604975,1
bbh,LESS (KNN-KDE),500,0.3089371006935835,5.210717177477104,2
bbh,LESS (KNN-KDE),1000,0.30653241541190646,5.676151671152916,0
bbh,LESS (KNN-KDE),1000,0.31242416127596373,5.765593626718517,1
bbh,LESS (KNN-KDE),1000,0.3091808901524838,5.842394061763062,2
bbh,LESS (KNN-KDE),2500,0.30512935762512094,5.931963366217885,0
bbh,LESS (KNN-KDE),2500,0.30399156184752046,5.910042208088028,1
bbh,LESS (KNN-KDE),2500,0.3041041528829086,6.077849734856628,2
bbh,LESS (KNN-KDE),5000,0.30426090624597335,6.255477101301894,0
bbh,LESS (KNN-KDE),5000,0.3061125487043166,6.351672724587378,1
bbh,LESS (KNN-KDE),5000,0.30615776657690236,6.481966000624176,2
bbh,LESS (KNN-KDE),10000,0.3081844517570219,6.724733585953218,0
bbh,LESS (KNN-KDE),10000,0.3051658251817212,6.72647598195856,1
bbh,LESS (KNN-KDE),10000,0.30749138601032305,6.634092680413023,2
bbh,LESS (KNN-Unif.),500,0.3108094603191187,5.486898724393093,0
bbh,LESS (KNN-Unif.),500,0.3100705204278599,5.33556968008496,1
bbh,LESS (KNN-Unif.),500,0.30966755207398056,5.460444824301213,2
bbh,LESS (KNN-Unif.),1000,0.31044122558317067,5.962928833060323,0
bbh,LESS (KNN-Unif.),1000,0.3086372065001432,5.4867877607484,1
bbh,LESS (KNN-Unif.),1000,0.31122700016899607,5.766125475952032,2
bbh,LESS (KNN-Unif.),2500,0.306196927058476,5.7924443957461795,0
bbh,LESS (KNN-Unif.),2500,0.30367099523636293,5.974463374901067,1
bbh,LESS (KNN-Unif.),2500,0.3027498474413598,5.84105637359685,2
bbh,LESS (KNN-Unif.),5000,0.30682778011225625,6.045767147106027,0
bbh,LESS (KNN-Unif.),5000,0.30576662236341723,6.196111026163237,1
bbh,LESS (KNN-Unif.),5000,0.3055310973000747,6.385969093722547,2
bbh,LESS (KNN-Unif.),10000,0.3070827007845596,6.528953891894616,0
bbh,LESS (KNN-Unif.),10000,0.3066944632863189,6.8383144070761235,1
bbh,LESS (KNN-Unif.),10000,0.3065386645403909,6.593263759881812,2
bbh,LESS (RR),500,0.323586694666265,6.2392542841082586,0
bbh,LESS (RR),500,0.3242143782568567,6.165474537312023,1
bbh,LESS (RR),500,0.3213379628220458,6.172815945818208,2
bbh,LESS (RR),1000,0.31695414638077773,6.412876789570953,0
bbh,LESS (RR),1000,0.3174407874452479,6.260625037147673,1
bbh,LESS (RR),1000,0.31577767797366335,6.223343003594441,2
bbh,LESS (RR),2500,0.31191440064598014,6.321056332324181,0
bbh,LESS (RR),2500,0.30595145415928626,6.2745744971301844,1
bbh,LESS (RR),2500,0.30769940012675007,6.116978904029555,2
bbh,LESS (RR),5000,0.3106762121810957,6.723086929791828,0
bbh,LESS (RR),5000,0.30862296915348664,6.513426712719714,1
bbh,LESS (RR),5000,0.30861699972071766,6.646335969184002,2
bbh,LESS (RR),10000,0.31296404191281324,7.176190433652696,0
bbh,LESS (RR),10000,0.31322333828350646,6.865188684794526,1
bbh,LESS (RR),10000,0.3145382018230947,7.057503571810215,2
bbh,LESS (UOT),500,0.31254678764552984,5.593125153569248,0
bbh,LESS (UOT),500,0.31223128772812125,5.460355063377118,1
bbh,LESS (UOT),500,0.3089348267947818,5.36025963851593,2
bbh,LESS (UOT),1000,0.3108277304764883,5.848844012875762,0
bbh,LESS (UOT),1000,0.31073163093332157,5.592256965587406,1
bbh,LESS (UOT),1000,0.3129048364949815,5.89116057405236,2
bbh,LESS (UOT),2500,0.30621065443128714,5.933009675901765,0
bbh,LESS (UOT),2500,0.30482808953542034,5.866448378896149,1
bbh,LESS (UOT),2500,0.30374659694455286,5.924658213383481,2
bbh,LESS (UOT),5000,0.303841346759855,6.162486135749073,0
bbh,LESS (UOT),5000,0.30269561889638874,6.2555588211923165,1
bbh,LESS (UOT),5000,0.30435659803082177,6.0249195947586305,2
bbh,LESS (UOT),10000,0.3057431651532282,6.7083881994469925,0
bbh,LESS (UOT),10000,0.30894077599140596,6.766510170508669,1
bbh,LESS (UOT),10000,0.305609946610567,6.744042287909514,2
bbh,RDS+ (RR),500,0.34240818170853604,7.066300950087338,0
bbh,RDS+ (RR),500,0.3416076791875156,7.015355996923721,1
bbh,RDS+ (RR),500,0.34233438614525913,7.132535169300735,2
bbh,RDS+ (RR),1000,0.34369020223801516,7.580819165765223,0
bbh,RDS+ (RR),1000,0.344238404414536,7.362232543661964,1
bbh,RDS+ (RR),1000,0.34549700326205773,7.440334915968336,2
bbh,RDS+ (RR),2500,0.3451266962988877,8.029412131030481,0
bbh,RDS+ (RR),2500,0.34536569101023085,7.986457748102567,1
bbh,RDS+ (RR),2500,0.344681495639645,8.03823899140722,2
bbh,RDS+ (RR),5000,0.34490241459858273,8.151804242471345,0
bbh,RDS+ (RR),5000,0.3431113452455144,8.140834895673938,1
bbh,RDS+ (RR),5000,0.34532827460839427,8.230928432957915,2
bbh,RDS+ (RR),10000,0.3526869253427894,8.390000043642575,0
bbh,RDS+ (RR),10000,0.35396179566044866,8.630151537143586,1
bbh,RDS+ (RR),10000,0.35213175848310374,8.307595754709684,2
bbh,Random,500,0.34795396135729034,6.222615915927776,0
bbh,Random,500,0.3448002837874271,6.021844384619359,1
bbh,Random,500,0.3469854352282889,6.140486027674088,2
bbh,Random,1000,0.3429383462133967,6.269741402401424,0
bbh,Random,1000,0.34170117541963674,6.326891445835291,1
bbh,Random,1000,0.34121764092533674,6.09502858738254,2
bbh,Random,2500,0.33593663366304505,6.570612055157539,0
bbh,Random,2500,0.3363678383146539,6.516252604164006,1
bbh,Random,2500,0.33663077086762144,6.324269436660257,2
bbh,Random,5000,0.33497794510589707,6.517817216641964,0
bbh,Random,5000,0.33582841678534026,6.700585179899424,1
bbh,Random,5000,0.33518662837184504,6.4876436283833385,2
bbh,Random,10000,0.3371377175236926,7.093188495812484,0
bbh,Random,10000,0.33623590090392547,6.8959103712396965,1
bbh,Random,10000,0.33753389786974886,6.960075109908702,2
codex,EMBED (RR),500,0.6136932596564293,0.6901371782091824,0
codex,EMBED (RR),500,0.6136622279882431,0.6891218906117452,1
codex,EMBED (RR),500,0.6211560033261776,0.6937018576506022,2
codex,EMBED (RR),1000,0.6205972842872143,0.7010002991033567,0
codex,EMBED (RR),1000,0.620004640892148,0.7049863222684409,1
codex,EMBED (RR),1000,0.6163144465535879,0.6978954178457325,2
codex,EMBED (RR),2500,0.6515651624649763,0.7263436177493753,0
codex,EMBED (RR),2500,0.6626409459859133,0.7407781245136583,1
codex,EMBED (RR),2500,0.6606366708874702,0.7340922396932099,2
codex,EMBED (RR),5000,0.6454697158187628,0.7211826503075458,0
codex,EMBED (RR),5000,0.6495066564530134,0.7270865843102738,1
codex,EMBED (RR),5000,0.6522389836609364,0.7265038515466291,2
codex,EMBED (RR),10000,0.6611870601773262,0.7349560250704353,0
codex,EMBED (RR),10000,0.655914880335331,0.728827785398509,1
codex,EMBED (RR),10000,0.6724583245813847,0.7411998049230188,2
codex,LESS (DG),500,0.5107340384274721,0.6083632834457062,0
codex,LESS (DG),500,0.512196846306324,0.608433459960931,1
codex,LESS (DG),500,0.5081663150340319,0.6062218578079263,2
codex,LESS (DG),1000,0.5537131130695343,0.6479371008840767,0
codex,LESS (DG),1000,0.5548463054001331,0.6479276360289471,1
codex,LESS (DG),1000,0.5579982176423073,0.6498745902365929,2
codex,LESS (DG),2500,0.6140263713896275,0.6927231175673975,0
codex,LESS (DG),2500,0.5936449561268091,0.6754128326838081,1
