dataset,method,num_samples,seed,true_metric
bbh,Random,500,0,61.02007852672864
bbh,Random,500,1,60.20161152428535
bbh,Random,500,2,60.517711832689805
bbh,Random,1000,0,61.002592363042886
bbh,Random,1000,1,60.12136564210372
bbh,Random,1000,2,60.51649906642166
bbh,Random,2500,0,60.07106655225153
bbh,Random,2500,1,60.38993776032589
bbh,Random,2500,2,60.487717362307436
bbh,Random,5000,0,60.34515772823589
bbh,Random,5000,1,60.60370479810402
bbh,Random,5000,2,60.545658305112916
bbh,Random,10000,0,60.331220092043644
bbh,Random,10000,1,60.51811048705906
bbh,Random,10000,2,61.20365082191446
bbh,EMBED (RR),500,0,60.38817284318466
bbh,EMBED (RR),500,1,60.21060640965574
bbh,EMBED (RR),500,2,60.85343517170334
bbh,EMBED (RR),1000,0,60.969356211848236
bbh,EMBED (RR),1000,1,60.747437531766934
bbh,EMBED (RR),1000,2,60.40515657042742
bbh,EMBED (RR),2500,0,60.81327349676725
bbh,EMBED (RR),2500,1,60.48668173646762
bbh,EMBED (RR),2500,2,60.921624810732
bbh,EMBED (RR),5000,0,61.219881613931356
bbh,EMBED (RR),5000,1,60.9709466590199
bbh,EMBED (RR),5000,2,61.17661306147576
bbh,EMBED (RR),10000,0,61.798307045014575
bbh,EMBED (RR),10000,1,61.731993067903744
bbh,EMBED (RR),10000,2,62.05994001893645
bbh,RDS+ (RR),500,0,61.00983184249489
bbh,RDS+ (RR),500,1,60.28025183888977
bbh,RDS+ (RR),500,2,60.41535008936434
bbh,RDS+ (RR),1000,0,60.655785096115046
bbh,RDS+ (RR),1000,1,60.208663571678166
bbh,RDS+ (RR),1000,2,61.079617537877915
bbh,RDS+ (RR),2500,0,60.58214159997607
bbh,RDS+ (RR),2500,1,61.24975679163042
bbh,RDS+ (RR),2500,2,60.4539501800319
bbh,RDS+ (RR),5000,0,61.44432591387839
bbh,RDS+ (RR),5000,1,61.34611495355367
bbh,RDS+ (RR),5000,2,61.225179035813824
bbh,RDS+ (RR),10000,0,61.29471078154724
bbh,RDS+ (RR),10000,1,61.65325242209234
bbh,RDS+ (RR),10000,2,61.228465724220335
bbh,LESS (DG),500,0,58.252564266829665
bbh,LESS (DG),500,1,59.12055606022958
bbh,LESS (DG),500,2,58.8526847606097
bbh,LESS (DG),1000,0,59.07375767349149
bbh,LESS (DG),1000,1,59.5588598397243
bbh,LESS (DG),1000,2,59.021069388851814
bbh,LESS (DG),2500,0,58.81497951749017
bbh,LESS (DG),2500,1,59.1214595532353
bbh,LESS (DG),2500,2,59.26976614860072
bbh,LESS (DG),5000,0,60.322469132957224
bbh,LESS (DG),5000,1,60.38906553241675
bbh,LESS (DG),5000,2,61.279341925808616
bbh,LESS (DG),10000,0,60.96743233534694
bbh,LESS (DG),10000,1,61.029959589801685
bbh,LESS (DG),10000,2,59.86864945178012
